,Year,Player,League,Details
0,2022,Justin Verlander,AL,"HOU 18-4, 1.75, 185 SO"
1,2022,Julio Urías,NL,"LAD 17-7, 2.16, 166 SO"
2,2021,Robbie Ray,AL,"TOR 13-7, 2.84, 248 SO"
3,2021,Corbin Burnes,NL,"MIL 11-5, 2.43, 234 SO"
4,2020,Shane Bieber,AL,"CLE 8-1, 1.63, 122 SO"
5,2020,Trevor Bauer,NL,"CIN 5-4, 1.73, 100 SO"
6,2019,Gerrit Cole,AL,"HOU 20-5, 2.50, 326 SO"
7,2019,Hyun Jin Ryu,NL,"LAD 14-5, 2.32, 163 SO"
8,2018,Blake Snell,AL,"TBR 21-5, 1.89, 221 SO"
9,2018,Jacob deGrom,NL,"NYM 10-9, 1.70, 269 SO"
10,2017,Corey Kluber,AL,"CLE 18-4, 2.25, 265 SO"
11,2017,Clayton Kershaw,NL,"LAD 18-4, 2.31, 202 SO"
12,2016,Aaron Sanchez,AL,"TOR 15-2, 3.00, 161 SO"
13,2016,Kyle Hendricks,NL,"CHC 16-8, 2.13, 170 SO"
14,2015,David Price,AL,"TOT 18-5, 2.45, 225 SO"
15,2015,Zack Greinke,NL,"LAD 19-3, 1.66, 200 SO"
16,2014,Félix Hernández,AL,"SEA 15-6, 2.14, 248 SO"
17,2014,Clayton Kershaw,NL,"LAD 21-3, 1.77, 239 SO"
18,2013,Aníbal Sánchez,AL,"DET 14-8, 2.57, 202 SO"
19,2013,Clayton Kershaw,NL,"LAD 16-9, 1.83, 232 SO"
20,2012,David Price,AL,"TBR 20-5, 2.56, 205 SO"
21,2012,Clayton Kershaw,NL,"LAD 14-9, 2.53, 229 SO"
22,2011,Justin Verlander,AL,"DET 24-5, 2.40, 250 SO"
23,2011,Clayton Kershaw,NL,"LAD 21-5, 2.28, 248 SO"
24,2010,Félix Hernández,AL,"SEA 13-12, 2.27, 232 SO"
25,2010,Josh Johnson,NL,"FLA 11-6, 2.30, 186 SO"
26,2009,Zack Greinke,AL,"KCR 16-8, 2.16, 242 SO"
27,2009,Chris Carpenter,NL,"STL 17-4, 2.24, 144 SO"
28,2008,Cliff Lee,AL,"CLE 22-3, 2.54, 170 SO"
29,2008,Johan Santana,NL,"NYM 16-7, 2.53, 206 SO"
30,2007,John Lackey,AL,"LAA 19-9, 3.01, 179 SO"
31,2007,Jake Peavy,NL,"SDP 19-6, 2.54, 240 SO"
32,2006,Johan Santana,AL,"MIN 19-6, 2.77, 245 SO"
33,2006,Roy Oswalt,NL,"HOU 15-8, 2.98, 166 SO"
34,2005,Kevin Millwood,AL,"CLE 9-11, 2.86, 146 SO"
35,2005,Roger Clemens,NL,"HOU 13-8, 1.87, 185 SO"
36,2004,Johan Santana,AL,"MIN 20-6, 2.61, 265 SO"
37,2004,Jake Peavy,NL,"SDP 15-6, 2.27, 173 SO"
38,2003,Pedro Martinez,AL,"BOS 14-4, 2.22, 206 SO"
39,2003,Jason Schmidt,NL,"SFG 17-5, 2.34, 208 SO"
40,2002,Pedro Martinez,AL,"BOS 20-4, 2.26, 239 SO"
41,2002,Randy Johnson,NL,"ARI 24-5, 2.32, 334 SO"
42,2001,Freddy Garcia,AL,"SEA 18-6, 3.05, 163 SO"
43,2001,Randy Johnson,NL,"ARI 21-6, 2.49, 372 SO"
44,2000,Pedro Martinez,AL,"BOS 18-6, 1.74, 284 SO"
45,2000,Kevin Brown,NL,"LAD 13-6, 2.58, 216 SO"
46,1999,Pedro Martinez,AL,"BOS 23-4, 2.07, 313 SO"
47,1999,Randy Johnson,NL,"ARI 17-9, 2.48, 364 SO"
48,1998,Roger Clemens,AL,"TOR 20-6, 2.65, 271 SO"
49,1998,Greg Maddux,NL,"ATL 18-9, 2.22, 204 SO"
50,1997,Roger Clemens,AL,"TOR 21-7, 2.05, 292 SO"
51,1997,Pedro Martinez,NL,"MON 17-8, 1.90, 305 SO"
52,1996,Juan Guzman,AL,"TOR 11-8, 2.93, 165 SO"
53,1996,Kevin Brown,NL,"FLA 17-11, 1.89, 159 SO"
54,1995,Randy Johnson,AL,"SEA 18-2, 2.48, 294 SO"
55,1995,Greg Maddux,NL,"ATL 19-2, 1.63, 181 SO"
56,1994,Steve Ontiveros,AL,"OAK 6-4, 2.65, 56 SO"
57,1994,Greg Maddux,NL,"ATL 16-6, 1.56, 156 SO"
58,1993,Kevin Appier,AL,"KCR 18-8, 2.56, 186 SO"
59,1993,Greg Maddux,NL,"ATL 20-10, 2.36, 197 SO"
60,1992,Roger Clemens,AL,"BOS 18-11, 2.41, 208 SO"
61,1992,Bill Swift,NL,"SFG 10-4 (1 SV), 2.08, 77 SO"
62,1991,Roger Clemens,AL,"BOS 18-10, 2.62, 241 SO"
63,1991,Dennis Martinez,NL,"MON 14-11, 2.39, 123 SO"
64,1990,Roger Clemens,AL,"BOS 21-6, 1.93, 209 SO"
65,1990,Danny Darwin,NL,"HOU 11-4 (2 SV), 2.21, 109 SO"
66,1989,Bret Saberhagen,AL,"KCR 23-6, 2.16, 193 SO"
67,1989,Scott Garrelts,NL,"SFG 14-5, 2.28, 119 SO"
68,1988,Allan Anderson,AL,"MIN 16-9, 2.45, 83 SO"
69,1988,Joe Magrane,NL,"STL 5-9, 2.18, 100 SO"
70,1987,Jimmy Key,AL,"TOR 17-8, 2.76, 161 SO"
71,1987,Nolan Ryan,NL,"HOU 8-16, 2.76, 270 SO"
72,1986,Roger Clemens,AL,"BOS 24-4, 2.48, 238 SO"
73,1986,Mike Scott,NL,"HOU 18-10, 2.22, 306 SO"
74,1985,Dave Stieb,AL,"TOR 14-13, 2.48, 167 SO"
75,1985,Dwight Gooden,NL,"NYM 24-4, 1.53, 268 SO"
76,1984,Mike Boddicker,AL,"BAL 20-11, 2.79, 128 SO"
77,1984,Alejandro Pena,NL,"LAD 12-6, 2.48, 135 SO"
78,1983,Rick Honeycutt,AL,"TEX 14-8, 2.42, 56 SO"
79,1983,Atlee Hammaker,NL,"SFG 10-9, 2.25, 127 SO"
80,1982,Rick Sutcliffe,AL,"CLE 14-8 (1 SV), 2.96, 142 SO"
81,1982,Steve Rogers,NL,"MON 19-8, 2.40, 179 SO"
82,1981,Steve McCatty,AL,"OAK 14-7, 2.33, 91 SO"
83,1981,Nolan Ryan,NL,"HOU 11-5, 1.69, 140 SO"
84,1980,Rudy May,AL,"NYY 15-5 (3 SV), 2.46, 133 SO"
85,1980,Don Sutton,NL,"LAD 13-5 (1 SV), 2.20, 128 SO"
86,1979,Ron Guidry,AL,"NYY 18-8 (2 SV), 2.78, 201 SO"
87,1979,J.R. Richard,NL,"HOU 18-13, 2.71, 313 SO"
88,1978,Ron Guidry,AL,"NYY 25-3, 1.74, 248 SO"
