,Year,Player,League
0,2023,Félix Bautista,AL
1,2023,Devin Williams,NL
2,2022,Emmanuel Clase,AL
3,2022,Edwin Díaz,NL
4,2021,Liam Hendriks,AL
5,2021,Josh Hader,NL
6,2020,Liam Hendriks,AL
7,2020,Devin Williams,NL
8,2019,Aroldis Chapman,AL
9,2019,Josh Hader,NL
10,2018,Edwin Díaz,AL
11,2018,Josh Hader,NL
12,2017,Craig Kimbrel,AL
13,2017,Kenley Jansen,NL
14,2016,Zack Britton,AL
15,2016,Kenley Jansen,NL
16,2015,Andrew Miller,AL
17,2015,Mark Melancon,NL
18,2014,Greg Holland,AL
19,2014,Craig Kimbrel,NL
20,2012,Jim Johnson,AL
21,2012,Craig Kimbrel,NL
22,2011,José Valverde,AL
23,2011,John Axford,NL
24,2010,Rafael Soriano,AL
25,2010,Heath Bell,NL
26,2009,Joe Nathan,AL
27,2009,Mariano Rivera,AL
28,2009,Heath Bell,NL
29,2008,Francisco Rodríguez,AL
30,2008,Brad Lidge,NL
31,2007,J.J. Putz,AL
32,2007,José Valverde,NL
33,2006,Francisco Rodríguez,AL
34,2006,Trevor Hoffman,NL
35,2005,Mariano Rivera,AL
36,2005,Chad Cordero,NL
37,2004,Mariano Rivera,AL
38,2004,Éric Gagné,NL
39,2003,Keith Foulke,AL
40,2003,Éric Gagné,NL
41,2002,Billy Koch,AL
42,2002,John Smoltz,NL
43,2001,Mariano Rivera,AL
44,2001,Armando Benítez,NL
45,2000,Todd Jones,AL
46,2000,Antonio Alfonseca,NL
47,1999,Mariano Rivera,AL
48,1999,Billy Wagner,NL
49,1998,Tom Gordon,AL
50,1998,Trevor Hoffman,NL
51,1997,Randy Myers,AL
52,1997,Jeff Shaw,NL
53,1996,John Wetteland,AL
54,1996,Jeff Brantley,NL
55,1995,José Mesa,AL
56,1995,Tom Henke,NL
57,1994,Lee Smith,AL
58,1994,Rod Beck,NL
59,1993,Jeff Montgomery,AL
60,1993,Randy Myers,NL
61,1992,Dennis Eckersley,AL
62,1992,Lee Smith,NL
63,1991,Bryan Harvey,AL
64,1991,Lee Smith,NL
65,1990,Bobby Thigpen,AL
66,1990,John Franco,NL
67,1989,Jeff Russell,AL
68,1989,Mark Davis,NL
69,1988,Dennis Eckersley,AL
70,1988,John Franco,NL
71,1987,Dave Righetti,AL
72,1987,Steve Bedrosian,NL
73,1986,Dave Righetti,AL
74,1986,Todd Worrell,NL
75,1985,Dan Quisenberry,AL
76,1985,Jeff Reardon,NL
77,1984,Dan Quisenberry,AL
78,1984,Bruce Sutter,NL
79,1983,Dan Quisenberry,AL
80,1983,Al Holland,NL
81,1982,Dan Quisenberry,AL
82,1982,Bruce Sutter,NL
83,1981,Rollie Fingers,AL
84,1981,Bruce Sutter,NL
85,1980,Dan Quisenberry,AL
86,1980,Rollie Fingers,NL
87,1979,Jim Kern,AL
88,1979,Bruce Sutter,NL
89,1978,Rich Gossage,AL
90,1978,Rollie Fingers,NL
91,1977,Bill Campbell,AL
92,1977,Rollie Fingers,NL
93,1976,Bill Campbell,AL
94,1976,Rawly Eastwick,NL
