,Lineup Spot,Player,Position,Year
0,1,Pepper Martin,3B,1933: Game 1
1,2,Frankie Frisch,2B,1933: Game 1
2,3,Chuck Klein,RF,1933: Game 1
3,4,Chick Hafey,LF,1933: Game 1
4,5,Bill Terry,1B,1933: Game 1
5,6,Wally Berger,CF,1933: Game 1
6,7,Dick Bartell,SS,1933: Game 1
7,8,Jimmie Wilson,C,1933: Game 1
8,9,Bill Hallahan,P,1933: Game 1
9,,Manager,,1933: Game 1
10,,John McGraw,,1933: Game 1
11,,Reserves,,1933: Game 1
12,,Gabby Hartnett,C,1933: Game 1
13,,Tony Cuccinello,2B,1933: Game 1
14,,Woody English,3B,1933: Game 1
15,,Pie Traynor,3B,1933: Game 1
16,,Lefty O'Doul,LF,1933: Game 1
17,,Paul Waner,RF,1933: Game 1
18,,Carl Hubbell,P,1933: Game 1
19,,Hal Schumacher,P,1933: Game 1
20,,Lon Warneke,P,1933: Game 1
21,1,Ben Chapman,LF,1933: Game 1
22,2,Charlie Gehringer,2B,1933: Game 1
23,3,Babe Ruth,RF,1933: Game 1
24,4,Lou Gehrig,1B,1933: Game 1
25,5,Al Simmons,CF,1933: Game 1
26,6,Jimmy Dykes,3B,1933: Game 1
27,7,Joe Cronin,SS,1933: Game 1
28,8,Rick Ferrell,C,1933: Game 1
29,9,Lefty Gomez,P,1933: Game 1
30,,Manager,,1933: Game 1
31,,Connie Mack,,1933: Game 1
32,,Reserves,,1933: Game 1
33,,Bill Dickey,C,1933: Game 1
34,,Jimmie Foxx,1B,1933: Game 1
35,,Tony Lazzeri,2B,1933: Game 1
36,,Earl Averill,CF,1933: Game 1
37,,Sam West,CF,1933: Game 1
38,,General Crowder,P,1933: Game 1
39,,Wes Ferrell,P,1933: Game 1
40,,Lefty Grove,P,1933: Game 1
41,,Oral Hildebrand,P,1933: Game 1
42,1,Charlie Gehringer,2B,1934: Game 1
43,2,Heinie Manush,LF,1934: Game 1
44,3,Babe Ruth,RF,1934: Game 1
45,4,Lou Gehrig,1B,1934: Game 1
46,5,Jimmie Foxx,3B,1934: Game 1
47,6,Al Simmons,CF,1934: Game 1
48,7,Joe Cronin,SS,1934: Game 1
49,8,Bill Dickey,C,1934: Game 1
50,9,Lefty Gomez,P,1934: Game 1
51,,Manager,,1934: Game 1
52,,Joe Cronin,,1934: Game 1
53,,Reserves,,1934: Game 1
54,,Mickey Cochrane,C,1934: Game 1
55,,Rick Ferrell,C,1934: Game 1
56,,Jimmy Dykes,3B,1934: Game 1
57,,Pinky Higgins,3B,1934: Game 1
58,,Ben Chapman,LF,1934: Game 1
59,,Earl Averill,CF,1934: Game 1
60,,Sam West,CF,1934: Game 1
61,,Tommy Bridges,P,1934: Game 1
62,,Mel Harder,P,1934: Game 1
63,,Red Ruffing,P,1934: Game 1
64,,Jack Russell,P,1934: Game 1
65,1,Frankie Frisch,2B,1934: Game 1
66,2,Pie Traynor,3B,1934: Game 1
67,3,Joe Medwick,LF,1934: Game 1
68,4,Kiki Cuyler,RF,1934: Game 1
69,5,Wally Berger,CF,1934: Game 1
70,6,Bill Terry,1B,1934: Game 1
71,7,Travis Jackson,SS,1934: Game 1
72,8,Gabby Hartnett,C,1934: Game 1
73,9,Carl Hubbell,P,1934: Game 1
74,,Manager,,1934: Game 1
75,,Bill Terry,,1934: Game 1
76,,Reserves,,1934: Game 1
77,,Al Lopez,C,1934: Game 1
78,,Billy Herman,2B,1934: Game 1
79,,Pepper Martin,3B,1934: Game 1
80,,Arky Vaughan,SS,1934: Game 1
81,,Chuck Klein,LF,1934: Game 1
82,,Jo-Jo Moore,LF,1934: Game 1
83,,Mel Ott,RF,1934: Game 1
84,,Paul Waner,RF,1934: Game 1
85,,Dizzy Dean,P,1934: Game 1
86,,Fred Frankhouse,P,1934: Game 1
87,,Van Mungo,P,1934: Game 1
88,,Lon Warneke,P,1934: Game 1
89,1,Pepper Martin,3B,1935: Game 1
90,2,Arky Vaughan,SS,1935: Game 1
91,3,Mel Ott,RF,1935: Game 1
92,4,Joe Medwick,LF,1935: Game 1
93,5,Bill Terry,1B,1935: Game 1
94,6,Wally Berger,CF,1935: Game 1
95,7,Billy Herman,2B,1935: Game 1
96,8,Jimmie Wilson,C,1935: Game 1
97,9,Bill Walker,P,1935: Game 1
98,,Manager,,1935: Game 1
99,,Frankie Frisch,,1935: Game 1
100,,Reserves,,1935: Game 1
101,,Gabby Hartnett,C,1935: Game 1
102,,Gus Mancuso,C,1935: Game 1
103,,Ripper Collins,1B,1935: Game 1
104,,Frankie Frisch,2B,1935: Game 1
105,,Burgess Whitehead,2B,1935: Game 1
106,,Jo-Jo Moore,LF,1935: Game 1
107,,Paul Waner,RF,1935: Game 1
108,,Dizzy Dean,P,1935: Game 1
109,,Paul Derringer,P,1935: Game 1
110,,Carl Hubbell,P,1935: Game 1
111,,Van Mungo,P,1935: Game 1
112,,Hal Schumacher,P,1935: Game 1
113,1,Joe Vosmik,RF,1935: Game 1
114,2,Charlie Gehringer,2B,1935: Game 1
115,3,Lou Gehrig,1B,1935: Game 1
116,4,Jimmie Foxx,3B,1935: Game 1
117,5,Bob Johnson,LF,1935: Game 1
118,6,Al Simmons,CF,1935: Game 1
119,7,Rollie Hemsley,C,1935: Game 1
120,8,Joe Cronin,SS,1935: Game 1
121,9,Lefty Gomez,P,1935: Game 1
122,,Manager,,1935: Game 1
123,,Mickey Cochrane,,1935: Game 1
124,,Reserves,,1935: Game 1
125,,Mickey Cochrane,C,1935: Game 1
126,,Rick Ferrell,C,1935: Game 1
127,,Buddy Myer,2B,1935: Game 1
128,,Ossie Bluege,SS,1935: Game 1
129,,Earl Averill,CF,1935: Game 1
130,,Ben Chapman,CF,1935: Game 1
131,,Doc Cramer,CF,1935: Game 1
132,,Sam West,CF,1935: Game 1
133,,Tommy Bridges,P,1935: Game 1
134,,Lefty Grove,P,1935: Game 1
135,,Mel Harder,P,1935: Game 1
136,,Schoolboy Rowe,P,1935: Game 1
137,1,Luke Appling,SS,1936: Game 1
138,2,Charlie Gehringer,2B,1936: Game 1
139,3,Joe DiMaggio,RF,1936: Game 1
140,4,Lou Gehrig,1B,1936: Game 1
141,5,Earl Averill,CF,1936: Game 1
142,6,Rick Ferrell,C,1936: Game 1
143,7,Rip Radcliff,LF,1936: Game 1
144,8,Pinky Higgins,3B,1936: Game 1
145,9,Lefty Grove,P,1936: Game 1
146,,Manager,,1936: Game 1
147,,Joe McCarthy,,1936: Game 1
148,,Reserves,,1936: Game 1
149,,Bill Dickey,C,1936: Game 1
150,,Rollie Hemsley,C,1936: Game 1
151,,Jimmie Foxx,1B,1936: Game 1
152,,Frankie Crosetti,SS,1936: Game 1
153,,Goose Goslin,LF,1936: Game 1
154,,Ben Chapman,CF,1936: Game 1
155,,George Selkirk,RF,1936: Game 1
156,,Tommy Bridges,P,1936: Game 1
157,,Lefty Gomez,P,1936: Game 1
158,,Mel Harder,P,1936: Game 1
159,,Vern Kennedy,P,1936: Game 1
160,,Monte Pearson,P,1936: Game 1
161,,Schoolboy Rowe,P,1936: Game 1
162,1,Augie Galan,CF,1936: Game 1
163,2,Billy Herman,2B,1936: Game 1
164,3,Ripper Collins,1B,1936: Game 1
165,4,Joe Medwick,LF,1936: Game 1
166,5,Frank Demaree,RF,1936: Game 1
167,6,Gabby Hartnett,C,1936: Game 1
168,7,Pinky Whitney,3B,1936: Game 1
169,8,Leo Durocher,SS,1936: Game 1
170,9,Dizzy Dean,P,1936: Game 1
171,,Manager,,1936: Game 1
172,,Charlie Grimm,,1936: Game 1
173,,Reserves,,1936: Game 1
174,,Ernie Lombardi,C,1936: Game 1
175,,Gus Suhr,1B,1936: Game 1
176,,Stu Martin,2B,1936: Game 1
177,,Lew Riggs,3B,1936: Game 1
178,,Arky Vaughan,SS,1936: Game 1
179,,Jo-Jo Moore,LF,1936: Game 1
180,,Wally Berger,CF,1936: Game 1
181,,Mel Ott,RF,1936: Game 1
182,,Curt Davis,P,1936: Game 1
183,,Carl Hubbell,P,1936: Game 1
184,,Van Mungo,P,1936: Game 1
185,,Lon Warneke,P,1936: Game 1
186,1,Paul Waner,RF,1937: Game 1
187,2,Billy Herman,2B,1937: Game 1
188,3,Arky Vaughan,3B,1937: Game 1
189,4,Joe Medwick,LF,1937: Game 1
190,5,Frank Demaree,CF,1937: Game 1
191,6,Johnny Mize,1B,1937: Game 1
192,7,Gabby Hartnett,C,1937: Game 1
193,8,Dick Bartell,SS,1937: Game 1
194,9,Dizzy Dean,P,1937: Game 1
195,,Manager,,1937: Game 1
196,,Bill Terry,,1937: Game 1
197,,Reserves,,1937: Game 1
198,,Ernie Lombardi,C,1937: Game 1
199,,Gus Mancuso,C,1937: Game 1
200,,Ripper Collins,1B,1937: Game 1
201,,Burgess Whitehead,2B,1937: Game 1
202,,Billy Jurges,SS,1937: Game 1
203,,Jo-Jo Moore,LF,1937: Game 1
204,,Pepper Martin,RF,1937: Game 1
205,,Gene Moore,RF,1937: Game 1
206,,Mel Ott,RF,1937: Game 1
207,,Cy Blanton,P,1937: Game 1
208,,Lee Grissom,P,1937: Game 1
209,,Carl Hubbell,P,1937: Game 1
210,,Van Mungo,P,1937: Game 1
211,,Bucky Walters,P,1937: Game 1
212,1,Red Rolfe,3B,1937: Game 1
213,2,Charlie Gehringer,2B,1937: Game 1
214,3,Joe DiMaggio,RF,1937: Game 1
215,4,Lou Gehrig,1B,1937: Game 1
216,5,Earl Averill,CF,1937: Game 1
217,6,Joe Cronin,SS,1937: Game 1
218,7,Bill Dickey,C,1937: Game 1
219,8,Sam West,LF,1937: Game 1
220,9,Lefty Gomez,P,1937: Game 1
221,,Manager,,1937: Game 1
222,,Joe McCarthy,,1937: Game 1
223,,Reserves,,1937: Game 1
224,,Rick Ferrell,C,1937: Game 1
225,,Luke Sewell,C,1937: Game 1
226,,Jimmie Foxx,1B,1937: Game 1
227,,Hank Greenberg,1B,1937: Game 1
228,,Buddy Myer,2B,1937: Game 1
229,,Harlond Clift,3B,1937: Game 1
230,,Doc Cramer,CF,1937: Game 1
231,,Beau Bell,RF,1937: Game 1
232,,Wally Moses,RF,1937: Game 1
233,,Gee Walker,RF,1937: Game 1
234,,Tommy Bridges,P,1937: Game 1
235,,Wes Ferrell,P,1937: Game 1
236,,Lefty Grove,P,1937: Game 1
237,,Mel Harder,P,1937: Game 1
238,,Johnny Murphy,P,1937: Game 1
239,,Monty Stratton,P,1937: Game 1
240,1,Mike Kreevich,LF,1938: Game 1
241,2,Charlie Gehringer,2B,1938: Game 1
242,3,Earl Averill,CF,1938: Game 1
243,4,Jimmie Foxx,1B,1938: Game 1
244,5,Joe DiMaggio,RF,1938: Game 1
245,6,Bill Dickey,C,1938: Game 1
246,7,Joe Cronin,SS,1938: Game 1
247,8,Buddy Lewis,3B,1938: Game 1
248,9,Lefty Gomez,P,1938: Game 1
249,,Manager,,1938: Game 1
250,,Joe McCarthy,,1938: Game 1
251,,Reserves,,1938: Game 1
252,,Rick Ferrell,C,1938: Game 1
253,,Rudy York,C,1938: Game 1
254,,Lou Gehrig,1B,1938: Game 1
255,,Hank Greenberg,1B,1938: Game 1
256,,Red Rolfe,3B,1938: Game 1
257,,Cecil Travis,SS,1938: Game 1
258,,Doc Cramer,CF,1938: Game 1
259,,Bob Johnson,CF,1938: Game 1
260,,Johnny Allen,P,1938: Game 1
261,,Bob Feller,P,1938: Game 1
262,,Lefty Grove,P,1938: Game 1
263,,Vern Kennedy,P,1938: Game 1
264,,Johnny Murphy,P,1938: Game 1
265,,Bobo Newsom,P,1938: Game 1
266,,Red Ruffing,P,1938: Game 1
267,1,Stan Hack,3B,1938: Game 1
268,2,Billy Herman,2B,1938: Game 1
269,3,Ival Goodman,RF,1938: Game 1
270,4,Joe Medwick,LF,1938: Game 1
271,5,Mel Ott,CF,1938: Game 1
272,6,Ernie Lombardi,C,1938: Game 1
273,7,Frank McCormick,1B,1938: Game 1
274,8,Leo Durocher,SS,1938: Game 1
275,9,Johnny Vander Meer,P,1938: Game 1
276,,Manager,,1938: Game 1
277,,Bill Terry,,1938: Game 1
278,,Reserves,,1938: Game 1
279,,Harry Danning,C,1938: Game 1
280,,Gabby Hartnett,C,1938: Game 1
281,,Babe Phelps,C,1938: Game 1
282,,Tony Cuccinello,2B,1938: Game 1
283,,Cookie Lavagetto,3B,1938: Game 1
284,,Arky Vaughan,SS,1938: Game 1
285,,Jo-Jo Moore,LF,1938: Game 1
286,,Hank Leiber,CF,1938: Game 1
287,,Hersh Martin,CF,1938: Game 1
288,,Lloyd Waner,CF,1938: Game 1
289,,Mace Brown,P,1938: Game 1
290,,Paul Derringer,P,1938: Game 1
291,,Carl Hubbell,P,1938: Game 1
292,,Bill Lee,P,1938: Game 1
293,,Jim Turner,P,1938: Game 1
294,1,Stan Hack,3B,1939: Game 1
295,2,Lonny Frey,2B,1939: Game 1
296,3,Ival Goodman,RF,1939: Game 1
297,4,Frank McCormick,1B,1939: Game 1
298,5,Ernie Lombardi,C,1939: Game 1
299,6,Joe Medwick,LF,1939: Game 1
300,7,Mel Ott,CF,1939: Game 1
301,8,Arky Vaughan,SS,1939: Game 1
302,9,Paul Derringer,P,1939: Game 1
303,,Manager,,1939: Game 1
304,,Gabby Hartnett,,1939: Game 1
305,,Reserves,,1939: Game 1
306,,Harry Danning,C,1939: Game 1
307,,Babe Phelps,C,1939: Game 1
308,,Dolph Camilli,1B,1939: Game 1
309,,Johnny Mize,1B,1939: Game 1
310,,Billy Herman,2B,1939: Game 1
311,,Cookie Lavagetto,3B,1939: Game 1
312,,Billy Jurges,SS,1939: Game 1
313,,Morrie Arnovich,LF,1939: Game 1
314,,Terry Moore,CF,1939: Game 1
315,,Curt Davis,P,1939: Game 1
316,,Lou Fette,P,1939: Game 1
317,,Bill Lee,P,1939: Game 1
318,,Johnny Vander Meer,P,1939: Game 1
319,,Bucky Walters,P,1939: Game 1
320,,Lon Warneke,P,1939: Game 1
321,,Whit Wyatt,P,1939: Game 1
322,1,Doc Cramer,RF,1939: Game 1
323,2,Red Rolfe,3B,1939: Game 1
324,3,Joe DiMaggio,CF,1939: Game 1
325,4,Bill Dickey,C,1939: Game 1
326,5,Hank Greenberg,1B,1939: Game 1
327,6,Joe Cronin,SS,1939: Game 1
328,7,George Selkirk,LF,1939: Game 1
329,8,Joe Gordon,2B,1939: Game 1
330,9,Red Ruffing,P,1939: Game 1
331,,Manager,,1939: Game 1
332,,Joe McCarthy,,1939: Game 1
333,,Reserves,,1939: Game 1
334,,Frankie Hayes,C,1939: Game 1
335,,Rollie Hemsley,C,1939: Game 1
336,,Jimmie Foxx,1B,1939: Game 1
337,,Lou Gehrig,1B,1939: Game 1
338,,George McQuinn,1B,1939: Game 1
339,,Luke Appling,SS,1939: Game 1
340,,Frankie Crosetti,SS,1939: Game 1
341,,Bob Johnson,LF,1939: Game 1
342,,George Case,CF,1939: Game 1
343,,Myril Hoag,CF,1939: Game 1
344,,Tommy Bridges,P,1939: Game 1
345,,Bob Feller,P,1939: Game 1
346,,Lefty Gomez,P,1939: Game 1
347,,Lefty Grove,P,1939: Game 1
348,,Ted Lyons,P,1939: Game 1
349,,Johnny Murphy,P,1939: Game 1
350,,Bobo Newsom,P,1939: Game 1
351,1,Cecil Travis,3B,1940: Game 1
352,2,Ted Williams,LF,1940: Game 1
353,3,Charlie Keller,RF,1940: Game 1
354,4,Joe DiMaggio,CF,1940: Game 1
355,5,Jimmie Foxx,1B,1940: Game 1
356,6,Luke Appling,SS,1940: Game 1
357,7,Bill Dickey,C,1940: Game 1
358,8,Joe Gordon,2B,1940: Game 1
359,9,Red Ruffing,P,1940: Game 1
360,,Manager,,1940: Game 1
361,,Joe Cronin,,1940: Game 1
362,,Reserves,,1940: Game 1
363,,Frankie Hayes,C,1940: Game 1
364,,Rollie Hemsley,C,1940: Game 1
365,,George McQuinn,1B,1940: Game 1
366,,Ray Mack,2B,1940: Game 1
367,,Ken Keltner,3B,1940: Game 1
368,,Red Rolfe,3B,1940: Game 1
369,,Lou Boudreau,SS,1940: Game 1
370,,Hank Greenberg,LF,1940: Game 1
371,,Bob Johnson,LF,1940: Game 1
372,,Doc Cramer,CF,1940: Game 1
373,,Lou Finney,RF,1940: Game 1
374,,Tommy Bridges,P,1940: Game 1
375,,Bob Feller,P,1940: Game 1
376,,Dutch Leonard,P,1940: Game 1
377,,Al Milnar,P,1940: Game 1
378,,Bobo Newsom,P,1940: Game 1
379,,Monte Pearson,P,1940: Game 1
380,1,Arky Vaughan,SS,1940: Game 1
381,2,Billy Herman,2B,1940: Game 1
382,3,Max West,RF,1940: Game 1
383,4,Johnny Mize,1B,1940: Game 1
384,5,Ernie Lombardi,C,1940: Game 1
385,6,Joe Medwick,LF,1940: Game 1
386,7,Cookie Lavagetto,3B,1940: Game 1
387,8,Terry Moore,CF,1940: Game 1
388,9,Paul Derringer,P,1940: Game 1
389,,Manager,,1940: Game 1
390,,Bill McKechnie,,1940: Game 1
391,,Reserves,,1940: Game 1
392,,Harry Danning,C,1940: Game 1
393,,Babe Phelps,C,1940: Game 1
394,,Frank McCormick,1B,1940: Game 1
395,,Pete Coscarart,2B,1940: Game 1
396,,Merrill May,3B,1940: Game 1
397,,Leo Durocher,SS,1940: Game 1
398,,Billy Jurges,SS,1940: Game 1
399,,Eddie Miller,SS,1940: Game 1
400,,Jo-Jo Moore,LF,1940: Game 1
401,,Hank Leiber,RF,1940: Game 1
402,,Bill Nicholson,RF,1940: Game 1
403,,Mel Ott,RF,1940: Game 1
404,,Larry French,P,1940: Game 1
405,,Kirby Higbe,P,1940: Game 1
406,,Carl Hubbell,P,1940: Game 1
407,,Hugh Mulcahy,P,1940: Game 1
408,,Bucky Walters,P,1940: Game 1
409,,Whit Wyatt,P,1940: Game 1
410,1,Stan Hack,3B,1941: Game 1
411,2,Terry Moore,LF,1941: Game 1
412,3,Pete Reiser,CF,1941: Game 1
413,4,Johnny Mize,1B,1941: Game 1
414,5,Bill Nicholson,RF,1941: Game 1
415,6,Arky Vaughan,SS,1941: Game 1
416,7,Lonny Frey,2B,1941: Game 1
417,8,Mickey Owen,C,1941: Game 1
418,9,Whit Wyatt,P,1941: Game 1
419,,Manager,,1941: Game 1
420,,Bill McKechnie,,1941: Game 1
421,,Reserves,,1941: Game 1
422,,Harry Danning,C,1941: Game 1
423,,Al Lopez,C,1941: Game 1
424,,Dolph Camilli,1B,1941: Game 1
425,,Hank Leiber,1B,1941: Game 1
426,,Frank McCormick,1B,1941: Game 1
427,,Billy Herman,2B,1941: Game 1
428,,Cookie Lavagetto,3B,1941: Game 1
429,,Eddie Miller,SS,1941: Game 1
430,,Joe Medwick,LF,1941: Game 1
431,,Bob Elliott,RF,1941: Game 1
432,,Mel Ott,RF,1941: Game 1
433,,Enos Slaughter,RF,1941: Game 1
434,,Cy Blanton,P,1941: Game 1
435,,Paul Derringer,P,1941: Game 1
436,,Carl Hubbell,P,1941: Game 1
437,,Claude Passeau,P,1941: Game 1
438,,Bucky Walters,P,1941: Game 1
439,,Lon Warneke,P,1941: Game 1
440,1,Bobby Doerr,2B,1941: Game 1
441,2,Cecil Travis,3B,1941: Game 1
442,3,Joe DiMaggio,CF,1941: Game 1
443,4,Ted Williams,LF,1941: Game 1
444,5,Jeff Heath,RF,1941: Game 1
445,6,Joe Cronin,SS,1941: Game 1
446,7,Rudy York,1B,1941: Game 1
447,8,Bill Dickey,C,1941: Game 1
448,9,Bob Feller,P,1941: Game 1
449,,Manager,,1941: Game 1
450,,Del Baker,,1941: Game 1
451,,Reserves,,1941: Game 1
