,Year,Player,League,Details
0,2022,Luis Arraez,AL,MIN 144 G .316/.375/.420
1,2022,Jeff McNeil,NL,NYM 148 G .326/.382/.454
2,2021,Yuli Gurriel,AL,HOU 143 G .319/.383/.462
3,2021,Trea Turner,NL,TOT 148 G .328/.375/.536
4,2020,DJ LeMahieu,AL,NYY 50 G .364/.421/.590
5,2020,Juan Soto,NL,WSN 47 G .351/.490/.695
6,2019,Tim Anderson,AL,CHW 123 G .335/.357/.508
7,2019,Christian Yelich,NL,MIL 130 G .329/.429/.671
8,2018,Mookie Betts,AL,BOS 136 G .346/.438/.640
9,2018,Christian Yelich,NL,MIL 147 G .326/.402/.598
10,2017,Jose Altuve,AL,HOU 153 G .346/.410/.547
11,2017,Charlie Blackmon,NL,COL 159 G .331/.399/.601
12,2016,Jose Altuve,AL,HOU 161 G .338/.396/.531
13,2016,DJ LeMahieu,NL,COL 146 G .348/.416/.495
14,2015,Miguel Cabrera,AL,DET 119 G .338/.440/.534
15,2015,Dee Strange-Gordon,NL,MIA 145 G .333/.359/.418
16,2014,Jose Altuve,AL,HOU 158 G .341/.377/.453
17,2014,Justin Morneau,NL,COL 135 G .319/.364/.496
18,2013,Miguel Cabrera,AL,DET 148 G .348/.442/.636
19,2013,Michael Cuddyer,NL,COL 130 G .331/.389/.530
20,2012,Miguel Cabrera,AL,DET 161 G .330/.393/.606
21,2012,Buster Posey,NL,SFG 148 G .336/.408/.549
22,2011,Miguel Cabrera,AL,DET 161 G .344/.448/.586
23,2011,José Reyes,NL,NYM 126 G .337/.384/.493
24,2010,Josh Hamilton,AL,TEX 133 G .359/.411/.633
25,2010,Carlos González,NL,COL 145 G .336/.376/.598
26,2009,Joe Mauer,AL,MIN 138 G .365/.444/.587
27,2009,Hanley Ramirez,NL,FLA 151 G .342/.410/.543
28,2008,Joe Mauer,AL,MIN 146 G .328/.413/.451
29,2008,Chipper Jones,NL,ATL 128 G .364/.470/.574
30,2007,Magglio Ordonez,AL,DET 157 G .363/.434/.595
31,2007,Matt Holliday,NL,COL 158 G .340/.405/.607
32,2006,Joe Mauer,AL,MIN 140 G .347/.429/.507
33,2006,Freddy Sanchez,NL,PIT 157 G .344/.378/.473
34,2005,Michael Young,AL,TEX 159 G .331/.385/.513
35,2005,Derrek Lee,NL,CHC 158 G .335/.418/.662
36,2004,Ichiro Suzuki,AL,SEA 161 G .372/.414/.455
37,2004,Barry Bonds,NL,SFG 147 G .362/.609/.812
38,2003,Bill Mueller,AL,BOS 146 G .326/.398/.540
39,2003,Albert Pujols,NL,STL 157 G .359/.439/.667
40,2002,Manny Ramirez,AL,BOS 120 G .349/.450/.647
41,2002,Barry Bonds,NL,SFG 143 G .370/.582/.799
42,2001,Ichiro Suzuki,AL,SEA 157 G .350/.381/.457
43,2001,Larry Walker,NL,COL 142 G .350/.449/.662
44,2000,Nomar Garciaparra,AL,BOS 140 G .372/.434/.599
45,2000,Todd Helton,NL,COL 160 G .372/.463/.698
