,Year,Player,League
0,2022,Justin Verlander,AL
1,2022,Sandy Alcantara,NL
2,2021,Robbie Ray,AL
3,2021,Corbin Burnes,NL
4,2020,Shane Bieber,AL
5,2020,Trevor Bauer,NL
6,2019,Justin Verlander,AL
7,2019,Jacob deGrom,NL
8,2018,Blake Snell,AL
9,2018,Jacob deGrom,NL
10,2017,Corey Kluber,AL
11,2017,Max Scherzer,NL
12,2016,Rick Porcello,AL
13,2016,Max Scherzer,NL
14,2015,Dallas Keuchel,AL
15,2015,Jake Arrieta,NL
16,2014,Corey Kluber,AL
17,2014,Clayton Kershaw,NL
18,2013,Max Scherzer,AL
19,2013,Clayton Kershaw,NL
20,2012,David Price,AL
21,2012,R.A. Dickey,NL
22,2011,Justin Verlander,AL
23,2011,Clayton Kershaw,NL
24,2010,Félix Hernández,AL
25,2010,Roy Halladay,NL
26,2009,Zack Greinke,AL
27,2009,Tim Lincecum,NL
28,2008,Cliff Lee,AL
29,2008,Tim Lincecum,NL
30,2007,CC Sabathia,AL
31,2007,Jake Peavy,NL
32,2006,Johan Santana,AL
33,2006,Brandon Webb,NL
34,2005,Bartolo Colon,AL
35,2005,Chris Carpenter,NL
36,2004,Johan Santana,AL
37,2004,Roger Clemens,NL
38,2003,Roy Halladay,AL
39,2003,Eric Gagne,NL
40,2002,Barry Zito,AL
41,2002,Randy Johnson,NL
42,2001,Roger Clemens,AL
43,2001,Randy Johnson,NL
44,2000,Pedro Martinez,AL
45,2000,Randy Johnson,NL
46,1999,Pedro Martinez,AL
47,1999,Randy Johnson,NL
48,1998,Roger Clemens,AL
49,1998,Tom Glavine,NL
50,1997,Roger Clemens,AL
51,1997,Pedro Martinez,NL
52,1996,Pat Hentgen,AL
53,1996,John Smoltz,NL
54,1995,Randy Johnson,AL
55,1995,Greg Maddux,NL
56,1994,David Cone,AL
57,1994,Greg Maddux,NL
58,1993,Jack McDowell,AL
59,1993,Greg Maddux,NL
60,1992,Dennis Eckersley,AL
61,1992,Greg Maddux,NL
62,1991,Roger Clemens,AL
63,1991,Tom Glavine,NL
64,1990,Bob Welch,AL
65,1990,Doug Drabek,NL
66,1989,Bret Saberhagen,AL
67,1989,Mark Davis,NL
68,1988,Frank Viola,AL
69,1988,Orel Hershiser,NL
70,1987,Roger Clemens,AL
71,1987,Steve Bedrosian,NL
72,1986,Roger Clemens,AL
73,1986,Mike Scott,NL
74,1985,Bret Saberhagen,AL
75,1985,Dwight Gooden,NL
76,1984,Willie Hernandez,AL
77,1984,Rick Sutcliffe,NL
78,1983,LaMarr Hoyt,AL
79,1983,John Denny,NL
80,1982,Pete Vuckovich,AL
81,1982,Steve Carlton,NL
82,1981,Rollie Fingers,AL
83,1981,Fernando Valenzuela,NL
84,1980,Steve Stone,AL
85,1980,Steve Carlton,NL
86,1979,Mike Flanagan,AL
87,1979,Bruce Sutter,NL
88,1978,Ron Guidry,AL
89,1978,Gaylord Perry,NL
90,1977,Sparky Lyle,AL
91,1977,Steve Carlton,NL
92,1976,Jim Palmer,AL
93,1976,Randy Jones,NL
94,1975,Jim Palmer,AL
95,1975,Tom Seaver,NL
96,1974,Catfish Hunter,AL
97,1974,Mike Marshall,NL
98,1973,Jim Palmer,AL
99,1973,Tom Seaver,NL
100,1972,Gaylord Perry,AL
101,1972,Steve Carlton,NL
102,1971,Vida Blue,AL
103,1971,Fergie Jenkins,NL
104,1970,Jim Perry,AL
105,1970,Bob Gibson,NL
106,1969,Mike Cuellar,AL
107,1969,Denny McLain,AL
108,1969,Tom Seaver,NL
109,1968,Denny McLain,AL
110,1968,Bob Gibson,NL
111,1967,Jim Lonborg,AL
112,1967,Mike McCormick,NL
113,1966,Sandy Koufax,ML
114,1965,Sandy Koufax,ML
115,1964,Dean Chance,ML
116,1963,Sandy Koufax,ML
117,1962,Don Drysdale,ML
118,1961,Whitey Ford,ML
119,1960,Vern Law,ML
120,1959,Early Wynn,ML
121,1958,Bob Turley,ML
122,1957,Warren Spahn,ML
123,1956,Don Newcombe,ML
