,Name,,Voted By,Inducted As,Votes,% of Ballots,Year Elected
0,Adrián Beltré,1979-Living,BBWAA,Player,366.0,95.1%,2024
1,Todd Helton,1973-Living,BBWAA,Player,307.0,79.7%,2024
2,Jim Leyland,1944-Living,Contemporary Baseball Era Non-Players,Manager,,,2024
3,Joe Mauer,1983-Living,BBWAA,Player,293.0,76.1%,2024
4,Fred McGriff,1963-Living,Contemporary Era,Player,,,2023
5,Scott Rolen,1975-Living,BBWAA,Player,297.0,76.3%,2023
6,Bud Fowler,1858-1913,Early Baseball Era,Pioneer/Executive,,,2022
7,Gil Hodges,1924-1972,Golden Days Era,Player,,,2022
8,Jim Kaat,1938-Living,Golden Days Era,Player,,,2022
9,Minnie Miñoso,1923-2015,Golden Days Era,Player,,,2022
10,Buck O'Neil,1911-2006,Early Baseball Era,Pioneer/Executive,,,2022
11,Tony Oliva,1938-Living,Golden Days Era,Player,,,2022
12,David Ortiz,1975-Living,BBWAA,Player,307.0,77.9%,2022
13,Derek Jeter,1974-Living,BBWAA,Player,396.0,99.7%,2020
14,Marvin Miller,1917-2012,Modern Baseball Era,Pioneer/Executive,,,2020
15,Ted Simmons,1949-Living,Modern Baseball Era,Player,,,2020
16,Larry Walker,1966-Living,BBWAA,Player,304.0,76.6%,2020
17,Harold Baines,1959-Living,Today's Game Era,Player,,,2019
18,Roy Halladay,1977-2017,BBWAA,Player,363.0,85.4%,2019
19,Edgar Martínez,1963-Living,BBWAA,Player,363.0,85.4%,2019
20,Mike Mussina,1968-Living,BBWAA,Player,326.0,76.7%,2019
21,Mariano Rivera,1969-Living,BBWAA,Player,425.0,100.0%,2019
22,Lee Smith,1957-Living,Today's Game Era,Player,,,2019
23,Vladimir Guerrero,1975-Living,BBWAA,Player,392.0,92.9%,2018
24,Trevor Hoffman,1967-Living,BBWAA,Player,337.0,79.9%,2018
25,Chipper Jones,1972-Living,BBWAA,Player,410.0,97.2%,2018
26,Jack Morris,1955-Living,Modern Baseball Era,Player,,,2018
27,Jim Thome,1970-Living,BBWAA,Player,379.0,89.8%,2018
28,Alan Trammell,1958-Living,Modern Baseball Era,Player,,,2018
29,Jeff Bagwell,1968-Living,BBWAA,Player,381.0,86.2%,2017
30,Tim Raines,1959-Living,BBWAA,Player,380.0,86.0%,2017
31,Iván Rodríguez,1971-Living,BBWAA,Player,336.0,76.0%,2017
32,John Schuerholz,1940-Living,Today's Game Era,Pioneer/Executive,,,2017
33,Bud Selig,1934-Living,Today's Game Era,Pioneer/Executive,,,2017
34,Ken Griffey Jr.,1969-Living,BBWAA,Player,437.0,99.3%,2016
35,Mike Piazza,1968-Living,BBWAA,Player,365.0,83.0%,2016
36,Craig Biggio,1965-Living,BBWAA,Player,454.0,82.7%,2015
37,Randy Johnson,1963-Living,BBWAA,Player,534.0,97.3%,2015
38,Pedro Martinez,1971-Living,BBWAA,Player,500.0,91.1%,2015
39,John Smoltz,1967-Living,BBWAA,Player,455.0,82.9%,2015
40,Bobby Cox,1941-Living,Expansion Era,Manager,,,2014
