,Year,Team,SP,SP,SP,SP,SP,RP,RP,C,1B,2B,3B,SS,OF,OF,OF,DH
0,2023,1st,,,,,,,,,,,,,,,,
1,2023,2nd,,,,,,,,,,,,,,,,
2,2022,1st,Alcántara,Manoah,Ohtani,Valdez,Verlander,Clase,Díaz,Realmuto,Goldschmidt,Altuve,Machado,Turner,Betts,Judge,Trout,Álvarez
3,2022,2nd,Cease,Fried,Nola,Scherzer,Urías,Helsley,Pressly,Smith,Freeman,Giménez,Arenado,Lindor,Rodríguez,Schwarber,Tucker,Ohtani
4,2021,1st,Buehler,Burnes,Cole,Ray,Scherzer,Hader,Hendriks,Pérez,Guerrero,Semien,Riley,Tatís,Harper,Judge,Soto,Ohtani
5,2021,2nd,Fried,Gausman,Ohtani,Urías,Wheeler,Iglesias,Jansen,Posey,Freeman,Albies,Devers,Turner,Castellanos,Hernández,Tucker,Álvarez
6,2020,1st,Bauer,Bieber,Darvish,deGrom,Fried,Anderson,Hendriks,Pérez,Freeman,LeMahieu,Machado,Tatís,Betts,Soto,Trout,Ozuna
7,2020,2nd,Cole,Kershaw,Lamet,Maeda,Ryu,Hand,Williams,Realmuto,Abreu,Lowe,Ramírez,Seager,Acuña,Conforto,Yastrzemski,Cruz
8,2019,1st,Cole,deGrom,Scherzer,Strasburg,Verlander,Hader,Yates,Realmuto,Alonso,LeMahieu,Rendon,Bogaerts,Bellinger,Trout,Yelich,Cruz
9,2019,2nd,Flaherty,Greinke,Morton,Ryu,Soroka,Chapman,Hendriks,Grandal,Freeman,Altuve,Bregman,Semien,Acuña,Betts,Soto,Álvarez
