,Year,Lg,Name,Tm,WAR,BA,OBP,SLG,HR,RBI,SB,W,L,SV,ERA,IP,SO
0,2023,ML,Aaron Judge,NYY,4.5,.267,.406,.613,37,75,3,,,,,,
2,2022,ML,Justin Turner,LAD,2.0,.278,.350,.438,13,81,3,,,,,,
4,2021,ML,Nelson Cruz,"TBR,MIN",2.5,.265,.334,.497,32,86,3,,,,,,
6,2020,ML,Adam Wainwright,STL,0.5,,,,,,,5,3,0,3.15,65.2,54
8,2019,ML,Carlos Carrasco,CLE,0.1,,,,,,,6,7,1,5.29,80.0,96
10,2018,ML,Yadier Molina,STL,1.5,.261,.314,.436,20,74,4,,,,,,
12,2017,ML,Anthony Rizzo,CHC,4.5,.273,.392,.507,32,109,10,,,,,,
14,2016,ML,Curtis Granderson,NYM,2.8,.237,.335,.464,30,59,4,,,,,,
16,2015,ML,Andrew McCutchen,PIT,5.0,.292,.401,.488,23,96,11,,,,,,
18,2014,ML,Paul Konerko,CHW,-0.7,.207,.254,.317,5,22,0,,,,,,
19,2014,ML,Jimmy Rollins,PHI,4.1,.243,.323,.394,17,55,28,,,,,,
21,2013,ML,Carlos Beltrán,STL,2.3,.296,.339,.491,24,84,2,,,,,,
23,2012,ML,Clayton Kershaw,LAD,6.8,.207,.230,.224,0,2,0,14,9,0,2.53,227.2,229
25,2011,ML,David Ortiz,BOS,4.0,.309,.398,.554,29,96,1,,,,,,
27,2010,ML,Tim Wakefield,BOS,-0.7,.000,.200,.000,0,0,0,4,10,0,5.34,140.0,84
29,2009,ML,Derek Jeter,NYY,6.6,.334,.406,.465,18,66,30,,,,,,
31,2008,ML,Albert Pujols,STL,9.2,.357,.462,.653,37,116,7,,,,,,
33,2007,ML,Craig Biggio,HOU,-2.1,.251,.285,.381,10,50,4,,,,,,
35,2006,ML,Carlos Delgado,NYM,2.7,.265,.361,.548,38,114,0,,,,,,
37,2005,ML,John Smoltz,ATL,4.9,.147,.183,.206,0,3,0,14,7,0,3.06,229.2,169
39,2004,ML,Edgar Martínez,SEA,-0.3,.263,.342,.385,12,63,1,,,,,,
41,2003,ML,Jamie Moyer,SEA,4.8,.400,.400,.400,0,0,0,21,7,0,3.27,215.0,129
43,2002,ML,Jim Thome,CLE,7.4,.304,.445,.677,52,118,1,,,,,,
45,2001,ML,Curt Schilling,ARI,8.5,.133,.143,.145,0,1,0,22,6,0,2.98,256.2,293
47,2000,ML,Al Leiter,NYM,4.3,.052,.113,.052,0,0,0,16,8,0,3.20,208.0,200
49,1999,ML,Tony Gwynn,SDP,1.8,.338,.381,.477,10,62,7,,,,,,
51,1998,ML,Sammy Sosa,CHC,6.5,.308,.377,.647,66,158,18,,,,,,
53,1997,ML,Eric Davis,BAL,1.1,.304,.358,.525,8,25,6,,,,,,
55,1996,ML,Kirby Puckett,,,,,,,,,,,,,,
57,1995,ML,Ozzie Smith,STL,-0.7,.199,.282,.244,0,11,4,,,,,,
59,1994,ML,Dave Winfield,MIN,0.1,.252,.321,.425,10,43,2,,,,,,
61,1993,ML,Barry Larkin,CIN,3.8,.315,.394,.445,8,51,14,,,,,,
63,1992,ML,Cal Ripken Jr.,BAL,4.1,.251,.323,.366,14,72,4,,,,,,
65,1991,ML,Harold Reynolds,SEA,2.7,.254,.332,.341,3,57,28,,,,,,
67,1990,ML,Dave Stewart,OAK,5.2,,,,,,,22,11,0,2.56,267.0,166
69,1989,ML,Gary Carter,NYM,-0.3,.183,.241,.275,2,15,0,,,,,,
71,1988,ML,Dale Murphy,ATL,3.1,.226,.313,.421,24,77,3,,,,,,
73,1987,ML,Rick Sutcliffe,CHC,6.5,.148,.213,.235,0,6,1,18,10,0,3.68,237.1,174
75,1986,ML,Garry Maddox,PHI,-0.1,.429,.556,.429,0,1,0,,,,,,
77,1985,ML,Don Baylor,NYY,0.7,.231,.330,.430,23,91,0,,,,,,
79,1984,ML,Ron Guidry,NYY,1.5,,,,,,,10,11,0,4.51,195.2,127
81,1983,ML,Cecil Cooper,MIL,4.0,.307,.341,.508,30,126,2,,,,,,
83,1982,ML,Ken Singleton,BAL,0.7,.251,.349,.381,14,77,0,,,,,,
85,1981,ML,Steve Garvey,LAD,2.0,.283,.322,.411,10,64,3,,,,,,
87,1980,ML,Phil Niekro,ATL,2.9,.133,.143,.189,0,5,0,15,18,1,3.63,275.0,176
89,1979,ML,Andre Thornton,CLE,2.7,.233,.347,.449,26,93,5,,,,,,
91,1978,ML,Greg Luzinski,PHI,5.2,.265,.388,.526,35,101,8,,,,,,
93,1977,ML,Rod Carew,MIN,9.7,.388,.449,.570,14,100,23,,,,,,
95,1976,ML,Pete Rose,CIN,7.0,.323,.404,.450,10,63,9,,,,,,
97,1975,ML,Lou Brock,STL,1.8,.309,.359,.400,3,47,56,,,,,,
99,1974,ML,Willie Stargell,PIT,5.4,.301,.407,.537,25,96,0,,,,,,
101,1973,ML,Al Kaline,DET,0.5,.255,.320,.394,10,45,4,,,,,,
103,1972,ML,Brooks Robinson,BAL,3.5,.250,.303,.342,8,64,1,,,,,,
105,1971,ML,Willie Mays,SFG,6.3,.271,.425,.482,18,61,23,,,,,,
