MLB_Teams,MLB_Codes,NBA_Teams,NBA_Codes,NFL_Teams,NFL_Codes,NHL_Teams,NHL_Codes,MLS_Codes
Arizona Diamondbacks,ARI,Los Angeles Lakers,LAL,Buffalo Bills,BUF,Florida Panthers,FLA,Atlanta-United
Atlanta Braves,ATL,Charlotte Hornets,CHO,Miami Dolphins,MIA,Toronto Maple Leafs,TOR,Austin-FC
Baltimore Orioles,BAL,Oklahoma City Thunder,OKC,New York Jets,NYJ,Tampa Bay Lightning,TBL,CF-Montreal
Boston Red Sox,BOS,Utah Jazz,UTA,New England Patriots,NWE,Boston Bruins,BOS,Charlotte-FC
Chicago Cubs,CHN,Denver Nuggets,DEN,Cincinnati Bengals,CIN,Buffalo Sabers,BUF,Chicago-Fire
Chicago White Sox,CHA,Pheonix Suns,PHO,Pittsburgh Steelers,PIT,Detroit Redwings,DET,Colorado-Rapids
Cincinnati Reds,CIN,Los Angeles Clippers,LAC,Cleveland Browns,CLE,Ottawa Senators,OTT,Columbus-Crew
Cleveland Guardians,CLE,Minnesota Timberwolves,MIN,Baltimore Ravens,BAL,Montreal Canadans,MTL,DC-United
Cleveland Indians,CLE,San Antonio Spurs,SAS,Tennessee Titans,TEN,Carolina Hurricanes,CAR,FC-Cincinnati
Colorado Rockies,COL,Chicago Bulls,CHI,Indianapolis Colts,IND,New York Rangers,NYR,FC-Dallas
Detroit Tigers,DET,Houston Rockets,HOU,Houston Texans,HOU,Pittsburgh Penguins,PIT,Houston-Dynamo
Houston Astros,HOU,Detroit Pistons,DET,Jacksonville Jaguars,JAX,Washington Capitals,WSH,Inter-Miami
Kansas City Royals,KCA,Philadelphia 76ers,PHI,Kansas City Chiefs,KAN,New York Islanders,NYI,LA-Galaxy
Los Angeles Angels of Anaheim,ANA,Indiana Pacers,IND,Las Vegas Raiders,LVR,Columbus Blue Jackets,CBJ,Los-Angeles-FC
Los Angeles Dodgers,LAN,New York Knicks,NYK,Los Angeles Chargers,LAC,New Jersey Devils,NJD,Minnesota-United
Miami Marlins,MIA,Portland Trailblazers,POR,Denver Broncos,DEN,Philadelphia Fliers,PHI,Nashville-SC
Florida Marlins,FLO,Golden State Warriors,GSW,Dallas Cowboys,DAL,Colorado Avalanche,COL,New-England-Revolution
Milwaukee Brewers,MIL,Sacramento Kings,SAC,Philadelphia Eagles,PHI,Minnesota Wild,MIN,New-York-Red-Bulls
Minnesota Twins,MIN,Orlando Magic,ORL,Washington Commanders,WAS,St Louis Blues,STL,New-York-City-FC
New York Mets,NYN,Toronto Raptors,TOR,New York Giants,NYG,Dallas Stars,DAL,Orlando-City
New York Yankees,NYA,Boston Celtics,BOS,Green Bay Packers,GNB,Nashville Predators,NSH,Philadelphia-Union
Oakland Athletics,OAK,Brooklyn Nets,BRK,Minnesota Vikings,MIN,Winnipeg Jets,WPG,Portland-Timbers
Philadelphia Phillies,PHI,Miami Heat,MIA,Chicago Bears,CHI,Chicago Blackhawks,CHI,Real-Salt-Lake
Pittsburgh Pirates,PIT,Washington Wizards,WAS,Detroit Lions,DET,Arizona Coyotes,ARI,San-Jose-Earthquakes
San Diego Padres,SDN,Cleveland Caveliers,CLE,Tampa Bay Buccaneers,TAM,Calgary Flames,CGY,Seattle-Sounders-FC
San Francisco Giants,SFN,New Orleans Pelicans,NOP,New Orleans Saints,NOR,Edmonton Oilers,EDM,Sporting-KC
Seattle Mariners,SEA,Dallas Mavericks,DAL,Atlanta Falcons,ATL,Los Angeles Kings,LAK,Toronto-FC
St. Louis Cardinals,SLN,Atlanta Hawks,ATL,Caronlina Panthers,CAR,Las Vegas Golden Knights,VEG,Vancouver-Whitecaps-FC
Tampa Bay Rays,TBA,Milwaukee Bucks,MIL,Los Angeles Rams,LAR,Vancouver Canucks,VAN,
Texas Rangers,TEX,Memphis Grizzlies,MEM,Arizona Cardinals,ARI,San Jose Sharks,SJS,
Toronto Blue Jays,TOR,,,San Francisco 49ers,SFO,Anaheim Ducks,ANA,
Washington Nationals,WAS,,,Seattle Seahawks,SEA,Seattle Kraken,SEA,
Los Angeles Angels,LAA,,,,,,,
