,Team,IP,H,R,ER,BB,SO,HR,ERA,BF,Pit,Str,Ctct,StS,StL,GB,FB,LD,Unk,GSc,IR,IS,WPA,aLI,cWPA,acLI,RE24,Date
Rick van den Hurk,Florida Marlins,5,8,6,6,5,1,3,7.00,26,101,52,31,5,16,9,11,2,0,23,,,-0.386,0.93,-0.06%,0.24,-3.3,7/27/2007
"Renyel Pinto, BS (5), L (2-4)",Florida Marlins,0.2,3,4,4,1,1,1,4.24,6,21,12,10,0,2,2,3,1,0,,0,0,-0.425,1.46,-0.07%,0.37,-2.7,7/27/2007
Matt Lindstrom,Florida Marlins,0.1,3,2,1,0,1,0,3.98,4,15,10,6,2,2,1,2,2,0,,1,1,-0.141,0.42,-0.02%,0.11,-2.8,7/27/2007
Lee Gardner,Florida Marlins,1,0,0,0,0,0,0,2.85,3,8,5,4,0,1,2,1,0,0,,0,0,0.007,0.09,0.00%,0.02,0.5,7/27/2007
Taylor Tankersley,Florida Marlins,1,0,0,0,1,1,0,5.46,3,13,7,1,3,3,1,0,0,0,,0,0,0.003,0.09,0.00%,0.02,0.5,7/27/2007
Florida Marlins Totals,Florida Marlins,8,14,12,11,7,4,4,12.38,42,158,86,52,10,24,15,17,5,0,23,1,1,-0.942,0.83,-0.14%,0.21,-7.7,7/27/2007
Dontrelle Willis,Florida Marlins,7,7,2,1,3,2,0,4.95,31,106,64,40,7,17,13,13,5,0,56,,,0.248,1.46,0.03%,0.32,1.7,7/28/2007
"Armando Benítez, H (10)",Florida Marlins,1,0,0,0,1,0,0,5.45,3,17,11,8,1,2,1,1,0,0,,0,0,0.146,2.58,0.02%,0.56,0.5,7/28/2007
"Kevin Gregg, BS (2), L (0-4)",Florida Marlins,0.1,2,2,2,2,0,0,3.32,5,28,13,9,0,4,1,2,1,0,,0,0,-0.790,3.74,-0.10%,0.82,-2.7,7/28/2007
Florida Marlins Totals,Florida Marlins,8.1,9,4,3,6,2,0,3.24,39,151,88,57,8,23,15,16,6,0,56,0,0,-0.396,1.83,-0.05%,0.40,-0.4,7/28/2007
Ricky Nolasco,Florida Marlins,7,6,1,1,0,4,0,3.56,25,97,68,38,4,26,6,15,3,0,65,,,0.195,1.07,0.01%,0.09,2.5,9/5/2008
Doug Waechter,Florida Marlins,1,1,0,0,0,0,0,3.19,4,9,7,5,0,2,0,4,2,0,,0,0,0.031,0.54,0.00%,0.04,0.5,9/5/2008
Joe Nelson,Florida Marlins,1,0,0,0,0,0,0,1.65,3,5,4,3,0,1,2,1,0,0,,0,0,0.137,1.81,0.01%,0.15,0.5,9/5/2008
