,Team,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details,Date
['Hanley RamirezSS'],Florida Marlins,5,1,3,4,0,0,6,.339,.391,.565,.956,21,12,0.174,1.01,0.245,-0.071,0.03%,0.26,1.7,4,2,"HR,2B,SF",7/27/2007
['Dan Uggla2B'],Florida Marlins,6,1,1,0,0,0,6,.257,.331,.511,.841,19,12,-0.088,0.93,0.039,-0.127,-0.01%,0.24,-1.0,1,3,2B,7/27/2007
['Miguel Cabrera3B'],Florida Marlins,4,1,2,1,2,0,6,.332,.405,.597,1.001,18,7,0.074,0.78,0.125,-0.051,0.01%,0.20,0.9,0,4,IW,7/27/2007
['Josh WillinghamLF'],Florida Marlins,2,1,1,0,3,0,5,.263,.375,.466,.841,22,8,0.044,0.82,0.091,-0.046,0.01%,0.21,0.8,2,0,GDP,7/27/2007
['Mike Jacobs1B'],Florida Marlins,5,1,2,2,0,1,5,.277,.328,.455,.783,26,17,0.161,1.35,0.250,-0.088,0.03%,0.35,0.7,8,1,2B,7/27/2007
['Cody RossCF'],Florida Marlins,4,1,2,2,0,1,4,.293,.398,.587,.984,10,9,0.167,1.27,0.233,-0.066,0.03%,0.32,1.6,3,0,HR,7/27/2007
['Renyel PintoP'],Florida Marlins,0,0,0,0,0,0,0,.000,.000,.000,.000,,,,,,,,,,0,0,,7/27/2007
['Matt LindstromP'],Florida Marlins,0,0,0,0,0,0,0,.000,.000,.000,.000,,,,,,,,,,0,0,,7/27/2007
['Lee GardnerP'],Florida Marlins,0,0,0,0,0,0,0,.000,.000,.000,.000,,,,,,,,,,0,0,,7/27/2007
['Jason WoodPH'],Florida Marlins,1,0,0,0,0,1,1,.276,.317,.474,.791,3,3,-0.011,0.38,0.000,-0.011,-0.00%,0.10,-0.3,,,,7/27/2007
['Taylor TankersleyP'],Florida Marlins,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,,7/27/2007
['Miguel OlivoC'],Florida Marlins,5,1,1,0,0,2,5,.234,.251,.380,.631,19,12,-0.060,0.68,0.021,-0.081,-0.01%,0.17,-0.5,4,1,,7/27/2007
['Jeremy HermidaRF'],Florida Marlins,3,3,2,1,2,0,5,.256,.350,.443,.793,24,13,0.046,0.76,0.095,-0.049,0.01%,0.20,1.5,1,0,2·2B,7/27/2007
['Rick van den HurkP'],Florida Marlins,2,0,0,0,0,2,3,.091,.091,.091,.182,11,7,-0.061,0.92,0.000,-0.061,-0.01%,0.23,-0.9,0,1,SH,7/27/2007
['Alfredo AmezagaCF'],Florida Marlins,2,0,1,0,0,0,2,.274,.324,.374,.698,5,4,-0.005,0.99,0.035,-0.039,-0.00%,0.26,0.7,1,0,2B,7/27/2007
Team Totals,Florida Marlins,39,10,15,10,7,7,48,.385,.468,.692,1.160,178,104,0.441,0.92,1.134,-0.690,0.07%,0.24,5.2,24,12,,7/27/2007
['Hanley RamirezSS'],Florida Marlins,4,1,2,0,0,0,4,.341,.392,.567,.959,20,10,0.054,0.83,0.086,-0.032,0.01%,0.18,0.4,1,8,"2B,SB",7/28/2007
['Dan Uggla2B'],Florida Marlins,3,0,0,0,1,0,4,.255,.330,.507,.837,18,9,-0.074,1.11,0.024,-0.099,-0.01%,0.24,-0.7,5,3,,7/28/2007
['Miguel Cabrera3B'],Florida Marlins,4,1,1,2,0,2,4,.331,.403,.601,1.004,15,11,0.111,1.01,0.177,-0.066,0.01%,0.22,0.8,1,4,HR,7/28/2007
