,Home_Away,,1,10,11,12,13,14,15,2,3,4,5,6,7,8,9,E,H,R,Team
Date,,,,,,,,,,,,,,,,,,,,,
"('7/27/2007',)",Away,via Sports Logos.netAbout logos,1,,,,,,,0,4,1,0,1,1,0,2,2,15,10,Florida Marlins
"('7/27/2007',)",Home,via Sports Logos.netAbout logos,2,,,,,,,0,0,0,4,6,0,0,X,0,14,12,San Francisco Giants
"('7/27/2007',)",Away,WP: Vinnie Chulk (4-2) • LP: Renyel Pinto (2-4),,,,,,,,,,,,,,,,,,,
"('7/28/2007',)",Home,via Sports Logos.netAbout logos,0,,,,,,,0,3,0,0,0,0,0,0,2,6,3,Florida Marlins
"('7/28/2007',)",Away,via Sports Logos.netAbout logos,1,,,,,,,0,0,0,0,1,0,0,2,0,9,4,San Francisco Giants
"('7/28/2007',)",Home,WP: Jack Taschner (2-0) • LP: Kevin Gregg (0-4),,,,,,,,,,,,,,,,,,,
"('7/28/2007',)",Away,Winning Run scored with 1 out,,,,,,,,,,,,,,,,,,,
"('9/5/2008',)",Home,via Sports Logos.netAbout logos,0,0,3,,,,,0,0,0,0,0,0,0,1,0,9,4,Florida Marlins
"('9/5/2008',)",Away,via Sports Logos.netAbout logos,0,0,0,,,,,0,0,0,0,0,1,0,0,1,8,1,St. Louis Cardinals
"('9/5/2008',)",Home,WP: Arthur Rhodes (4-1) • LP: Ryan Franklin (5-6) • SV: Matt Lindstrom (1),,,,,,,,,,,,,,,,,,,
"('9/6/2008',)",Away,via Sports Logos.netAbout logos,0,,,,,,,0,1,2,0,0,0,0,0,0,5,3,Florida Marlins
"('9/6/2008',)",Home,via Sports Logos.netAbout logos,2,,,,,,,0,0,1,0,1,0,1,X,0,6,5,St. Louis Cardinals
"('9/6/2008',)",Away,WP: Todd Wellemeyer (12-6) • LP: Scott Olsen (6-10) • SV: Ryan Franklin (15),,,,,,,,,,,,,,,,,,,
"('7/25/2009',)",Home,via Sports Logos.netAbout logos,0,,,,,,,0,2,0,0,0,3,0,0,0,12,5,Minnesota Twins
"('7/25/2009',)",Away,via Sports Logos.netAbout logos,0,,,,,,,0,0,9,0,0,0,2,X,1,14,11,Los Angeles Angels of Anaheim
"('7/25/2009',)",Home,WP: Matt Palmer (8-1) • LP: Nick Blackburn (8-5),,,,,,,,,,,,,,,,,,,
"('7/26/2009',)",Away,via Sports Logos.netAbout logos,0,,,,,,,1,3,4,0,0,0,0,0,0,11,8,Florida Marlins
"('7/26/2009',)",Home,via Sports Logos.netAbout logos,0,,,,,,,0,0,0,0,4,0,0,2,1,13,6,Los Angeles Dodgers
"('7/26/2009',)",Away,WP: Chris Volstad (8-9) • LP: Jason Schmidt (1-1),,,,,,,,,,,,,,,,,,,
"('8/22/2009',)",Home,via Sports Logos.netAbout logos,3,,,,,,,0,0,2,0,0,0,2,0,0,14,7,St. Louis Cardinals
"('8/22/2009',)",Away,via Sports Logos.netAbout logos,0,,,,,,,0,0,0,0,0,0,0,0,0,4,0,San Diego Padres
"('8/22/2009',)",Home,WP: Chris Carpenter (14-3) • LP: Kevin Correia (8-10),,,,,,,,,,,,,,,,,,,
"('4/24/2010',)",Away,via Sports Logos.netAbout logos,0,,,,,,,0,0,0,0,0,0,0,0,0,4,0,St. Louis Cardinals
"('4/24/2010',)",Home,via Sports Logos.netAbout logos,0,,,,,,,0,0,0,0,0,0,2,X,0,7,2,San Francisco Giants
"('4/24/2010',)",Away,WP: Barry Zito (3-0) • LP: Adam Wainwright (3-1) • SV: Brian Wilson (4),,,,,,,,,,,,,,,,,,,
"('9/26/2010',)",Home,via Sports Logos.netAbout logos,0,,,,,,,0,0,0,2,0,0,2,0,0,11,4,Los Angeles Dodgers
"('9/26/2010',)",Away,via Sports Logos.netAbout logos,0,,,,,,,0,0,0,1,0,0,4,X,1,8,5,Arizona Diamondbacks
"('9/26/2010',)",Home,WP: Sam Demel (2-1) • LP: Jonathan Broxton (5-6) • SV: J.C. Gutierrez (14),,,,,,,,,,,,,,,,,,,
"('10/28/2010',)",Away,via Sports Logos.netAbout logos,0,,,,,,,0,0,0,0,0,0,0,0,0,4,0,Texas Rangers
"('10/28/2010',)",Home,via Sports Logos.netAbout logos,0,,,,,,,0,0,0,1,0,1,7,X,0,8,9,San Francisco Giants
"('10/28/2010',)",Away,WP: Matt Cain (2-0) • LP: C.J. Wilson (1-2),,,,,,,,,,,,,,,,,,,
"('7/14/2012',)",Home,via Sports Logos.netAbout logos,0,0,0,0,,,,0,0,0,0,0,0,0,2,0,7,2,Houston Astros
"('7/14/2012',)",Away,via Sports Logos.netAbout logos,0,0,0,1,,,,0,0,0,1,1,0,0,0,1,13,3,San Francisco Giants
"('7/14/2012',)",Home,WP: Jeremy Affeldt (1-1) • LP: Brett Myers (0-4),,,,,,,,,,,,,,,,,,,
"('7/14/2012',)",Away,Winning Run scored with 0 outs,,,,,,,,,,,,,,,,,,,
"('9/11/2012',)",Home,via Sports Logos.netAbout logos,0,,,,,,,1,1,0,0,1,1,0,0,1,7,4,St. Louis Cardinals
"('9/11/2012',)",Away,via Sports Logos.netAbout logos,0,,,,,,,0,0,5,0,0,0,1,X,3,8,6,San Diego Padres
"('9/11/2012',)",Home,WP: Edinson Volquez (10-10) • LP: Adam Wainwright (13-13) • SV: Luke Gregerson (6),,,,,,,,,,,,,,,,,,,
"('10/14/2012',)",Away,via Sports Logos.netAbout logos,0,,,,,,,2,0,4,0,0,0,0,0,0,8,6,St. Louis Cardinals
"('10/14/2012',)",Home,via Sports Logos.netAbout logos,0,,,,,,,0,0,4,0,0,0,0,0,1,7,4,San Francisco Giants
"('10/14/2012',)",Away,WP: Edward Mujica (1-0) • LP: Madison Bumgarner (0-2) • SV: Jason Motte (2),,,,,,,,,,,,,,,,,,,
