,Team,IP,H,R,ER,BB,SO,HR,ERA,BF,Pit,Str,Ctct,StS,StL,GB,FB,LD,Unk,GSc,IR,IS,WPA,aLI,cWPA,acLI,RE24,Date
Barry Zito,San Francisco Giants,4,8,6,6,4,3,1,5.28,23,87,50,28,10,12,6,10,4,0,21,,,-0.406,1.03,-0.01%,0.04,-3.9,7/27/2007
Kevin Correia,San Francisco Giants,1.1,2,1,1,1,2,1,4.21,7,27,15,7,4,4,1,3,1,0,,0,0,-0.138,0.59,-0.00%,0.02,-0.5,7/27/2007
"Vinnie Chulk, W (4-2)",San Francisco Giants,0.2,0,0,0,1,0,0,3.35,3,10,5,3,1,1,0,2,0,0,,1,0,0.059,1.80,0.00%,0.08,0.6,7/27/2007
Jonathan Sánchez,San Francisco Giants,1.2,2,1,1,1,1,0,4.45,8,32,19,13,3,3,2,4,1,0,,0,0,0.017,0.52,0.00%,0.02,-0.3,7/27/2007
Randy Messenger,San Francisco Giants,1.1,3,2,2,0,1,0,2.15,7,22,15,10,2,3,4,2,0,0,,1,0,0.027,1.04,0.00%,0.05,-1.1,7/27/2007
San Francisco Giants Totals,San Francisco Giants,9,15,10,10,7,7,2,10.00,48,178,104,61,20,23,13,21,6,0,21,2,0,-0.441,0.92,-0.01%,0.04,-5.2,7/27/2007
Matt Cain,San Francisco Giants,7,6,3,3,2,7,1,4.02,29,121,74,46,8,20,8,12,3,0,58,,,0.007,0.84,0.00%,0.04,0.7,7/28/2007
Vinnie Chulk,San Francisco Giants,1,0,0,0,0,2,0,3.27,3,13,9,3,2,4,0,1,0,0,,0,0,0.056,0.72,0.00%,0.04,0.5,7/28/2007
"Jack Taschner, W (2-0)",San Francisco Giants,1,0,0,0,0,2,0,5.71,3,16,10,5,2,3,0,1,0,0,,0,0,0.041,0.54,0.00%,0.03,0.5,7/28/2007
San Francisco Giants Totals,San Francisco Giants,9,6,3,3,2,11,1,3.00,35,150,93,54,12,27,8,14,3,0,58,0,0,0.104,0.81,0.00%,0.04,1.8,7/28/2007
Braden Looper,St. Louis Cardinals,7.1,4,0,0,0,6,0,4.09,26,101,62,34,7,21,10,9,3,0,76,,,0.436,1.09,0.20%,0.83,3.5,9/5/2008
"Russ Springer, H (13)",St. Louis Cardinals,0.2,0,0,0,1,0,0,2.42,3,12,6,3,0,3,1,1,0,0,,1,0,0.127,3.89,0.06%,2.93,0.5,9/5/2008
"Chris Perez, BS (4)",St. Louis Cardinals,1,1,1,1,0,2,1,3.57,4,20,13,7,3,3,1,1,0,0,,0,0,-0.201,2.03,-0.09%,1.53,-0.5,9/5/2008
"Ryan Franklin, L (5-6)",St. Louis Cardinals,1.1,2,2,2,0,0,0,3.90,6,23,17,11,1,5,5,1,0,0,,0,0,-0.048,2.49,-0.02%,1.87,-0.2,9/5/2008
Ron Villone,St. Louis Cardinals,0.1,0,0,0,0,0,0,5.11,1,8,5,3,1,1,0,1,0,0,,2,0,0.185,5.19,0.08%,3.91,0.7,9/5/2008
Jason Motte,St. Louis Cardinals,0.1,2,1,0,0,1,0,0.00,3,10,7,3,2,2,1,1,1,0,,2,2,-0.459,2.14,-0.21%,1.62,-2.5,9/5/2008
St. Louis Cardinals Totals,St. Louis Cardinals,11,9,4,3,1,9,1,2.45,43,174,110,61,14,35,18,14,4,0,76,5,2,0.040,1.74,0.02%,1.31,1.5,9/5/2008
"Todd Wellemeyer, W (12-6)",St. Louis Cardinals,8,5,3,3,1,7,2,3.74,30,119,71,39,9,23,9,13,5,0,66,,,0.209,1.29,0.05%,0.54,1.0,9/6/2008
"Randy Flores, H (13)",St. Louis Cardinals,0.1,0,0,0,0,0,0,4.50,1,1,1,1,0,0,1,0,0,0,,0,0,0.038,1.50,0.01%,0.62,0.2,9/6/2008
"Ryan Franklin, S (15)",St. Louis Cardinals,0.2,0,0,0,0,1,0,3.86,3,15,9,4,2,3,1,0,0,0,,0,0,0.035,1.42,0.01%,0.59,0.3,9/6/2008
St. Louis Cardinals Totals,St. Louis Cardinals,9,5,3,3,1,8,2,3.00,34,135,81,44,11,26,11,13,5,0,66,0,0,0.282,1.31,0.07%,0.54,1.5,9/6/2008
"Matt Palmer, W (8-1)",Los Angeles Angels of Anaheim,5,4,2,2,3,4,1,4.68,22,94,54,28,7,19,7,8,1,0,52,,,-0.012,0.75,-0.01%,1.05,0.7,7/25/2009
Justin Speier,Los Angeles Angels of Anaheim,1,2,0,0,0,1,0,4.95,5,17,11,7,2,2,1,3,2,0,,0,0,0.008,0.35,0.01%,0.49,0.5,7/25/2009
Shane Loux,Los Angeles Angels of Anaheim,1,4,3,1,0,0,0,5.23,7,22,15,10,0,5,3,4,2,0,,0,0,-0.022,0.28,-0.02%,0.39,-2.5,7/25/2009
Darren Oliver,Los Angeles Angels of Anaheim,1,0,0,0,0,2,0,2.72,3,10,8,3,0,5,1,0,0,0,,0,0,0.026,0.33,0.02%,0.46,0.5,7/25/2009
Robert Mosebach,Los Angeles Angels of Anaheim,1,2,0,0,0,0,0,0.00,5,18,10,6,1,3,3,2,0,0,,0,0,0.003,0.10,0.00%,0.14,0.5,7/25/2009
Los Angeles Angels of Anaheim Totals,Los Angeles Angels of Anaheim,9,12,5,3,3,7,1,3.00,42,161,98,54,10,34,15,17,5,0,52,0,0,0.003,0.52,0.00%,0.73,-0.2,7/25/2009
"Jason Schmidt, L (1-1)",Los Angeles Dodgers,3,5,5,4,1,1,1,7.88,15,51,31,21,4,6,6,6,3,0,31,,,-0.293,0.94,-0.07%,0.40,-3.6,7/26/2009
Jeff Weaver,Los Angeles Dodgers,3,4,3,3,2,2,0,3.86,16,56,36,21,4,11,6,5,1,0,,0,0,-0.050,0.09,-0.01%,0.04,-1.6,7/26/2009
Claudio Vargas,Los Angeles Dodgers,2,1,0,0,0,2,0,1.00,8,34,22,12,2,8,1,4,2,0,,0,0,0.017,0.16,0.00%,0.07,0.9,7/26/2009
Ramón Troncoso,Los Angeles Dodgers,1,1,0,0,0,0,0,1.92,4,13,10,6,1,3,2,2,1,0,,0,0,0.003,0.05,0.00%,0.03,0.5,7/26/2009
Los Angeles Dodgers Totals,Los Angeles Dodgers,9,11,8,7,3,5,1,7.00,43,154,99,60,11,28,15,17,7,0,31,0,0,-0.323,0.40,-0.08%,0.17,-3.7,7/26/2009
"Kevin Correia, L (8-10)",San Diego Padres,5.2,10,5,5,2,2,2,4.46,28,95,60,36,6,18,7,17,9,0,29,,,-0.289,0.44,0.00%,0.00,-3.0,8/22/2009
Joe Thatcher,San Diego Padres,0.1,0,0,0,0,0,0,3.13,1,4,3,1,0,2,1,0,0,0,,3,0,0.010,0.39,0.00%,0.00,0.7,8/22/2009
Luis Perdomo,San Diego Padres,1.2,3,2,2,3,2,1,4.68,11,42,22,16,2,4,3,3,1,0,,0,0,-0.003,0.09,0.00%,0.00,-0.6,8/22/2009
Ryan Webb,San Diego Padres,1.1,1,0,0,0,1,0,4.91,5,20,12,7,3,2,1,3,2,0,,2,1,-0.003,0.02,0.00%,0.00,-0.1,8/22/2009
San Diego Padres Totals,San Diego Padres,9,14,7,7,5,5,3,7.00,45,161,97,60,11,26,12,23,12,0,29,5,1,-0.285,0.30,0.00%,0.00,-3.0,8/22/2009
