,Team,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details,Date
['Dave RobertsCF'],San Francisco Giants,4,1,2,0,1,1,5,.262,.327,.355,.682,21,12,0.002,1.00,0.097,-0.095,0%,0.05,0.2,3,0,SB,7/27/2007
['Omar VizquelSS'],San Francisco Giants,4,1,1,1,0,0,5,.246,.295,.299,.594,19,11,0.069,1.36,0.172,-0.104,0.00%,0.06,-0.4,2,2,SH,7/27/2007
['Ray Durham2B'],San Francisco Giants,4,1,2,3,0,1,5,.240,.307,.389,.696,14,10,0.200,0.96,0.272,-0.072,0.01%,0.04,1.2,1,1,"HR,2B,SF",7/27/2007
['Randy MessengerP'],San Francisco Giants,0,0,0,0,0,0,0,.000,.000,.000,.000,,,,,,,,,,0,0,,7/27/2007
['Barry BondsLF'],San Francisco Giants,1,2,1,1,4,0,5,.281,.499,.574,1.073,25,7,0.154,0.36,0.154,0.000,0.00%,0.02,2.1,2,0,HR,7/27/2007
['Ryan Klesko1B'],San Francisco Giants,4,2,1,0,1,1,5,.280,.370,.435,.805,16,8,0.029,0.60,0.058,-0.029,0.00%,0.03,-0.2,6,2,,7/27/2007
['Pedro Feliz3B'],San Francisco Giants,5,2,2,3,0,0,5,.254,.296,.446,.741,17,10,0.184,0.98,0.250,-0.067,0.01%,0.04,1.6,0,3,"HR,GDP",7/27/2007
['Bengie MolinaC'],San Francisco Giants,4,2,2,2,0,0,4,.267,.286,.407,.693,11,9,0.200,1.00,0.265,-0.065,0.01%,0.05,2.2,7,0,HR,7/27/2007
['Fred LewisRF'],San Francisco Giants,3,0,1,0,0,0,3,.274,.355,.400,.755,13,7,-0.025,0.59,0.011,-0.036,-0.00%,0.03,-0.2,1,0,,7/27/2007
['Vinnie ChulkP'],San Francisco Giants,0,0,0,0,0,0,0,.000,.000,.000,.000,,,,,,,,,,0,0,,7/27/2007
['Mark SweeneyPH'],San Francisco Giants,1,0,1,1,0,0,1,.218,.337,.385,.722,7,4,0.024,0.20,0.024,0.000,0.00%,0.01,1.0,,,,7/27/2007
['Jonathan SánchezP'],San Francisco Giants,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,,,,,,,,,,0,0,,7/27/2007
['Rich Aurilia2B'],San Francisco Giants,0,0,0,0,0,0,0,.243,.290,.362,.652,,,,,,,,,,1,0,,7/27/2007
['Barry ZitoP'],San Francisco Giants,0,0,0,0,1,0,1,.111,.158,.111,.269,5,1,0.017,0.74,0.017,0.000,0.00%,0.03,0.2,1,2,,7/27/2007
['Kevin FrandsenPH'],San Francisco Giants,1,0,0,0,0,0,1,.242,.317,.320,.637,2,1,-0.013,0.53,0.000,-0.013,0%,0.02,-0.2,,,,7/27/2007
['Kevin CorreiaP'],San Francisco Giants,0,0,0,0,0,0,0,.500,.500,.500,1.000,,,,,,,,,,0,0,,7/27/2007
['Randy WinnRF'],San Francisco Giants,2,1,1,0,0,1,2,.296,.351,.421,.773,8,5,0.101,0.86,0.105,-0.004,0.00%,0.04,0.3,3,0,2B,7/27/2007
Team Totals,San Francisco Giants,33,12,14,11,7,4,42,.424,.512,.848,1.361,158,85,0.942,0.83,1.425,-0.485,0.03%,0.04,7.7,27,10,,7/27/2007
['Randy WinnCF'],San Francisco Giants,4,1,1,0,1,0,5,.296,.352,.420,.771,25,12,-0.046,1.36,0.039,-0.086,-0.00%,0.07,0.2,3,0,,7/28/2007
['Omar VizquelSS'],San Francisco Giants,3,0,2,0,1,0,5,.250,.300,.302,.602,21,11,0.177,1.44,0.177,0.000,0.01%,0.07,1.1,0,2,"SB,SH",7/28/2007
['Ray Durham2B'],San Francisco Giants,4,0,1,1,1,0,5,.240,.308,.388,.696,15,8,0.164,2.18,0.220,-0.056,0.01%,0.11,0.9,0,2,,7/28/2007
['Barry BondsLF'],San Francisco Giants,3,0,0,0,1,1,4,.278,.496,.567,1.063,12,6,-0.122,1.86,0.059,-0.181,-0.00%,0.09,-1.0,2,0,,7/28/2007
['Pedro Feliz3B'],San Francisco Giants,4,1,0,0,0,1,4,.251,.293,.441,.733,10,9,-0.182,1.78,0.000,-0.182,-0.01%,0.09,-1.2,2,2,,7/28/2007
['Bengie MolinaC'],San Francisco Giants,3,0,2,0,1,0,4,.271,.292,.413,.704,23,14,0.197,1.33,0.218,-0.020,0.01%,0.07,1.4,11,1,2B,7/28/2007
['Rich Aurilia1B'],San Francisco Giants,4,0,2,1,0,0,4,.247,.293,.368,.662,14,8,-0.035,1.93,0.128,-0.163,-0.00%,0.10,0.2,7,0,"2B,GDP",7/28/2007
['Kevin FrandsenRF'],San Francisco Giants,3,0,0,0,0,0,3,.237,.310,.313,.623,7,5,-0.247,1.98,0.000,-0.247,-0.01%,0.10,-1.9,2,0,GDP,7/28/2007
['Dave RobertsPH'],San Francisco Giants,0,1,0,0,1,0,1,.262,.330,.355,.685,5,1,0.135,3.54,0.135,0.000,0.00%,0.18,0.4,,,,7/28/2007
['Matt CainP'],San Francisco Giants,2,0,0,0,0,0,2,.028,.054,.028,.082,5,4,-0.067,1.23,0.000,-0.067,-0.00%,0.06,-0.6,0,0,,7/28/2007
['Guillermo RodriguezPH'],San Francisco Giants,1,0,0,0,0,0,1,.258,.368,.290,.659,6,5,-0.050,1.91,0.000,-0.050,-0.00%,0.10,-0.2,,,,7/28/2007
