,Player,Games,Team,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,GS,X_All_NBA
0,Andrew Bogut,1.0,LAL,3.0,5.0,0.600,0.0,0.0,0.000,0.0,0.0,0.600,4.0,6.0,10.0,2.0,1.0,2.0,0.0,2.0,6.0,-2.0,11.3,1
1,Anthony Davis,1.0,LAL,6.0,9.0,0.667,0.0,0.0,0.000,1.0,2.0,0.667,3.0,5.0,8.0,2.0,2.0,1.0,2.0,4.0,13.0,-4.0,12.8,4
2,Ben Simmons,1.0,PHI,8.0,13.0,0.615,0.0,0.0,0.000,2.0,4.0,0.615,3.0,6.0,9.0,10.0,5.0,1.0,1.0,1.0,18.0,19.0,26.5,1
3,Carmelo Anthony,1.0,POR,5.0,15.0,0.333,1.0,3.0,0.333,4.0,4.0,0.333,3.0,2.0,5.0,1.0,0.0,0.0,0.0,1.0,15.0,9.0,9.5,6
4,Damian Lillard,1.0,POR,17.0,29.0,0.586,9.0,15.0,0.600,8.0,8.0,0.586,0.0,2.0,2.0,12.0,1.0,0.0,2.0,2.0,51.0,17.0,44.7,7
5,De'Aaron Fox,2.0,SAC,8.5,15.5,0.548,2.0,4.5,0.444,2.0,3.0,0.548,0.0,4.0,4.0,6.0,2.0,1.0,1.5,2.0,21.0,15.5,18.95,1
6,Devin Booker,1.0,PHO,9.0,20.0,0.450,0.0,3.0,0.000,6.0,9.0,0.450,2.0,2.0,4.0,7.0,0.0,0.0,0.0,1.0,24.0,-24.0,18.9,1
7,Domantas Sabonis,1.0,SAC,12.0,15.0,0.800,0.0,2.0,0.000,4.0,5.0,0.800,1.0,10.0,11.0,12.0,0.0,0.0,3.0,3.0,28.0,27.0,29.8,1
8,Donovan Mitchell,3.0,UTA,9.0,19.67,0.458,1.67,6.67,0.250,5.0,5.67,0.458,0.0,3.67,3.67,4.33,1.0,0.67,2.33,3.33,24.67,-5.33,16.17,1
9,Draymond Green,1.0,GSW,6.0,10.0,0.600,2.0,5.0,0.400,0.0,0.0,0.600,0.0,8.0,8.0,8.0,0.0,0.0,3.0,1.0,14.0,6.0,14.0,2
10,Joe Johnson,1.0,UTA,1.0,4.0,0.250,0.0,1.0,0.000,0.0,0.0,0.250,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,-11.0,-0.8,1
11,Joel Embiid,1.0,PHI,14.0,20.0,0.700,2.0,3.0,0.667,16.0,19.0,0.700,2.0,13.0,15.0,7.0,0.0,7.0,2.0,4.0,46.0,19.0,47.9,5
12,Julius Randle,1.0,LAL,2.0,12.0,0.167,0.0,1.0,0.000,4.0,6.0,0.167,3.0,5.0,8.0,1.0,1.0,0.0,3.0,6.0,8.0,5.0,-0.5,2
13,Kevin Durant,2.0,PHO/GSW,8.0,12.0,0.667,2.0,3.0,0.667,6.5,7.0,0.667,0.0,6.5,6.5,3.0,0.5,1.5,4.5,1.5,24.5,4.0,19.6,10
14,Klay Thompson,1.0,GSW,5.0,12.0,0.417,3.0,5.0,0.600,2.0,2.0,0.417,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,15.0,14.0,7.6,2
15,LeBron James,1.0,LAL,13.0,20.0,0.650,4.0,6.0,0.667,8.0,10.0,0.650,0.0,7.0,7.0,3.0,3.0,0.0,4.0,3.0,38.0,8.0,30.4,19
16,Rudy Gobert,2.0,UTA,3.5,5.0,0.700,0.0,0.0,0.000,3.5,3.5,0.700,2.0,7.0,9.0,1.0,0.5,2.0,0.5,4.0,10.5,-15.0,12.4,4
17,Russell Westbrook,1.0,LAL,10.0,19.0,0.526,4.0,7.0,0.571,3.0,6.0,0.526,0.0,4.0,4.0,8.0,2.0,1.0,6.0,1.0,27.0,4.0,19.6,9
18,Shai Gilgeous-Alexander,1.0,OKC,9.0,17.0,0.529,1.0,1.0,1.000,11.0,12.0,0.529,0.0,2.0,2.0,8.0,2.0,0.0,4.0,5.0,30.0,-2.0,23.5,1
19,Trae Young,1.0,ATL,11.0,24.0,0.458,6.0,11.0,0.545,8.0,9.0,0.458,0.0,6.0,6.0,13.0,1.0,1.0,3.0,0.0,36.0,16.0,32.8,1
