,Player,Games,X_All_NBA,All_League_List
0,Andrew Bogut,1.0,1,"['1st Team: 0', '2nd Team: 0', '3rd Team: 1']"
1,Anthony Davis,1.0,4,"['1st Team: 4', '2nd Team: 0', '3rd Team: 0']"
5,Ben Simmons,1.0,1,"['1st Team: 0', '2nd Team: 0', '3rd Team: 1']"
6,Carmelo Anthony,1.0,6,"['1st Team: 0', '2nd Team: 2', '3rd Team: 4']"
12,Damian Lillard,1.0,7,"['1st Team: 1', '2nd Team: 4', '3rd Team: 2']"
19,De'Aaron Fox,2.0,1,"['1st Team: 0', '2nd Team: 0', '3rd Team: 1']"
20,Devin Booker,1.0,1,"['1st Team: 1', '2nd Team: 0', '3rd Team: 0']"
21,Domantas Sabonis,1.0,1,"['1st Team: 0', '2nd Team: 0', '3rd Team: 1']"
22,Donovan Mitchell,3.0,1,"['1st Team: 0', '2nd Team: 1', '3rd Team: 0']"
23,Draymond Green,1.0,2,"['1st Team: 0', '2nd Team: 1', '3rd Team: 1']"
25,Joe Johnson,1.0,1,"['1st Team: 0', '2nd Team: 0', '3rd Team: 1']"
26,Joel Embiid,1.0,5,"['1st Team: 1', '2nd Team: 4', '3rd Team: 0']"
31,Julius Randle,1.0,2,"['1st Team: 0', '2nd Team: 1', '3rd Team: 1']"
33,Kevin Durant,2.0,10,"['1st Team: 6', '2nd Team: 4', '3rd Team: 0']"
43,Klay Thompson,1.0,2,"['1st Team: 0', '2nd Team: 0', '3rd Team: 2']"
45,LeBron James,1.0,19,"['1st Team: 13', '2nd Team: 3', '3rd Team: 3']"
64,Rudy Gobert,2.0,4,"['1st Team: 0', '2nd Team: 1', '3rd Team: 3']"
68,Russell Westbrook,1.0,9,"['1st Team: 2', '2nd Team: 5', '3rd Team: 2']"
77,Shai Gilgeous-Alexander,1.0,1,"['1st Team: 1', '2nd Team: 0', '3rd Team: 0']"
78,Trae Young,1.0,1,"['1st Team: 0', '2nd Team: 0', '3rd Team: 1']"
