,Name,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Date,Games,GS
0,Donovan Mitchell,UTA,32:24,11.0,21.0,0.524,3.0,6.0,0.5,0.0,0.0,0.0,0.0,2.0,2.0,4.0,1.0,0.0,2.0,2.0,25.0,-9.0,2/1/20,1,16.299999999999997
1,Rudy Gobert,UTA,32:04,1.0,4.0,0.25,0.0,0.0,0.0,4.0,4.0,1.0,4.0,7.0,11.0,2.0,1.0,3.0,1.0,4.0,6.0,-14.0,2/1/20,1,10.4
2,Mike Conley,UTA,30:01,9.0,20.0,0.45,4.0,6.0,0.667,0.0,0.0,0.0,1.0,3.0,4.0,4.0,0.0,0.0,1.0,0.0,22.0,-4.0,2/1/20,1,15.0
3,Bojan Bogdanović,UTA,28:57,6.0,11.0,0.545,5.0,9.0,0.556,5.0,5.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,3.0,22.0,-10.0,2/1/20,1,17.2
4,Joe Ingles,UTA,28:02,1.0,2.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,5.0,1.0,0.0,1.0,2.0,3.0,-6.0,2/1/20,1,5.0
5,Royce O'Neale,UTA,23:28,1.0,6.0,0.167,1.0,4.0,0.25,0.0,0.0,0.0,0.0,6.0,6.0,1.0,2.0,1.0,1.0,2.0,3.0,-27.0,2/1/20,1,2.6000000000000005
6,Jordan Clarkson,UTA,22:41,4.0,14.0,0.286,4.0,8.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,12.0,-20.0,2/1/20,1,2.7000000000000006
7,Georges Niang,UTA,18:30,3.0,10.0,0.3,0.0,5.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,2.0,6.0,-4.0,2/1/20,1,1.4000000000000001
8,Ed Davis,UTA,13:17,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,-7.0,2/1/20,1,5.8
9,Juwan Morgan,UTA,2:39,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,2/1/20,1,2.4
10,Rayjon Tucker,UTA,2:39,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,2/1/20,1,1.6
11,Jarrell Brantley,UTA,2:39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2/1/20,1,0.3
12,Emmanuel Mudiay,UTA,2:39,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,2/1/20,1,-1.7
14,Ben Simmons,PHI,39:06,8.0,13.0,0.615,0.0,0.0,0.0,2.0,4.0,0.5,3.0,6.0,9.0,10.0,5.0,1.0,1.0,1.0,18.0,19.0,11/15/17,1,26.5
15,J.J. Redick,PHI,34:53,4.0,15.0,0.267,0.0,8.0,0.0,3.0,4.0,0.75,0.0,8.0,8.0,5.0,1.0,0.0,2.0,4.0,11.0,3.0,11/15/17,1,5.0
16,Joel Embiid,PHI,34:29,14.0,20.0,0.7,2.0,3.0,0.667,16.0,19.0,0.842,2.0,13.0,15.0,7.0,0.0,7.0,2.0,4.0,46.0,19.0,11/15/17,1,47.89999999999999
17,Dario Šarić,PHI,33:20,3.0,10.0,0.3,1.0,7.0,0.143,0.0,0.0,0.0,1.0,5.0,6.0,0.0,0.0,3.0,0.0,1.0,7.0,1.0,11/15/17,1,5.099999999999999
18,Robert Covington,PHI,29:45,5.0,9.0,0.556,2.0,5.0,0.4,0.0,0.0,0.0,0.0,6.0,6.0,1.0,0.0,1.0,2.0,4.0,12.0,16.0,11/15/17,1,7.299999999999999
19,Timothé Luwawu-Cabarrot,PHI,24:42,4.0,10.0,0.4,1.0,6.0,0.167,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,1.0,2.0,2.0,9.0,1.0,11/15/17,1,2.8
