,All_Stars,Year
0,"['Paul Arizin*Vince BorylaBob Cousy*Joe Fulks*Harry Gallatin*Ed Macauley*Dick McGuire*Andy Phillip*Red RochaDolph Schayes*', 'Ralph BeardFrankie BrianBob Davies*Dike EddlemanLarry FoustAlex GrozaGeorge Mikan*Vern Mikkelsen*Jim Pollard*Fred Schaus']",1951
1,"['Paul Arizin*Bob Cousy*Joe Fulks*Harry Gallatin*Ed Macauley*Dick McGuire*Andy Phillip*Red RochaDolph Schayes*(1)Fred ScolariMax Zaslofsky', 'Leo BarnhorstFrankie BrianBob Davies*Dike EddlemanLarry Foust(2)George Mikan*Vern Mikkelsen*Jim Pollard*Arnie Risen*Paul WaltherBobby Wanzer*']",1952
2,"['Don Barksdale*Carl Braun*Bob Cousy*Bill GaborHarry Gallatin*Neil Johnston*Ed Macauley*Dolph Schayes*Fred Scolari(1)Paul SeymourBill Sharman*', 'Leo BarnhorstBob Davies*Larry FoustMel HutchinsSlater Martin*George Mikan*Vern Mikkelsen*Andy Phillip*Arnie Risen*Bobby Wanzer*']",1953
3,"['Carl Braun*Bob Cousy*Ray FelixHarry Gallatin*Neil Johnston*Ed Macauley*Dick McGuire*Dolph Schayes*Paul SeymourBill Sharman*', 'Bob Davies*Larry FoustMel HutchinsSlater Martin*George Mikan*Jack Molinas(1)Andy Phillip*Jim Pollard*Arnie Risen*Don SunderlageBobby Wanzer*']",1954
4,"['Paul Arizin*Carl Braun*Bob Cousy*Harry Gallatin*Neil Johnston*Ed Macauley*Dick McGuire*Dolph Schayes*Paul SeymourBill Sharman*', 'Jack ColemanLarry FoustSlater Martin*Vern Mikkelsen*Bob Pettit*Andy Phillip*Jim Pollard*Arnie Risen*(1)Frank SelvyBobby Wanzer*George Yardley*']",1955
5,"['Paul Arizin*Carl Braun*(1)Bob Cousy*Harry Gallatin*Jack GeorgeNeil Johnston*Red KerrEd Macauley*Dick McGuire*Dolph Schayes*Bill Sharman*', 'Larry FoustBob HarrisonMel HutchinsClyde Lovellette*Slater Martin*Vern Mikkelsen*Bob Pettit*Maurice Stokes*Bobby Wanzer*George Yardley*']",1956
6,"['Paul Arizin*Carl Braun*Nat Clifton*Bob Cousy*Harry Gallatin*Jack GeorgeTom Heinsohn*Neil Johnston*Dolph Schayes*Bill Sharman*', 'Dick GarmakerMel HutchinsClyde Lovellette*(1)Ed Macauley*Slater Martin*Vern Mikkelsen*Bob Pettit*Richie ReganMaurice Stokes*Jack Twyman*George Yardley*']",1957
7,"['Paul Arizin*Larry Costello*Bob Cousy*Richie Guerin*Neil Johnston*Willie NaullsBill Russell*Dolph Schayes*Kenny SearsBill Sharman*', 'Larry FoustDick GarmakerCliff Hagan*(1)Slater Martin*Dick McGuire*Bob Pettit*Gene ShueMaurice Stokes*Jack Twyman*George Yardley*']",1958
8,"['Paul Arizin*Larry Costello*Bob Cousy*Richie Guerin*Red KerrBill Russell*Woody SauldsberryDolph Schayes*Kenny SearsBill Sharman*', 'Elgin Baylor*Larry FoustDick GarmakerCliff Hagan*Slater Martin*Dick McGuire*Bob Pettit*Gene ShueJack Twyman*George Yardley*']",1959
9,"['Paul Arizin*(1)Wilt Chamberlain*Larry Costello*Bob Cousy*Tom Gola*Richie Guerin*Willie NaullsBill Russell*Dolph Schayes*Bill Sharman*George Yardley*', 'Elgin Baylor*Walter DukesDick GarmakerCliff Hagan*Hot Rod HundleyClyde Lovellette*Chuck NobleBob Pettit*Gene ShueJack Twyman*']",1960
