,Player,Appearances
0,Donovan Mitchell,4
1,Rudy Gobert,3
2,Mike Conley,1
3,Ben Simmons,3
4,Joel Embiid,6
5,Joe Johnson,7
6,Shai Gilgeous-Alexander,1
7,Devin Booker,3
8,Kevin Durant,13
9,Damian Lillard,7
10,Carmelo Anthony,10
11,Brandon Ingram,1
12,Brook Lopez,1
13,Julius Randle,2
14,Klay Thompson,5
15,Draymond Green,4
16,Andre Iguodala,1
17,David West,2
18,De'Aaron Fox,1
19,Tyrese Haliburton,1
20,LeBron James,19
21,Anthony Davis,8
22,Russell Westbrook,9
23,Domantas Sabonis,3
24,Trae Young,2
25,Dejounte Murray,1
