Date,Home,Visitor,Sport
2/1/20,Portland Trailblazers,Utah Jazz,NBA
11/15/17,Los Angeles Lakers,Philadelphia 76ers,NBA
12/27/17,Golden State Warriors,Utah Jazz,NBA
11/3/21,Sacramento Kings,New Orleans Pelicans,NBA
4/21/22,Utah Jazz,Dallas Mavericks,NBA
2/7/23,Los Angeles Lakers,Oklahoma City Thunder,NBA
12/28/23,Portland Trailblazers,San Antonio Spurs,NBA
12/29/23,Portland Trailblazers,San Antonio Spurs,NBA
12/22/23,Sacramento Kings,Phoenix Suns,NBA
1/15/24,Atlanta Hawks,San Antonio Spurs,NBA
