,Player,X_DPOY,Years
0,Jaren Jackson Jr.,1,[2023]
1,Marcus Smart,1,[2022]
2,Rudy Gobert,3,"[2021, 2019, 2018]"
3,Giannis Antetokounmpo,1,[2020]
4,Draymond Green,1,[2017]
5,Kawhi Leonard,2,"[2016, 2015]"
6,Joakim Noah,1,[2014]
7,Marc Gasol,1,[2013]
8,Tyson Chandler,1,[2012]
9,Dwight Howard,3,"[2011, 2010, 2009]"
10,Kevin Garnett,1,[2008]
11,Marcus Camby,1,[2007]
12,Ben Wallace,4,"[2006, 2005, 2003, 2002]"
13,Metta World Peace,1,[2004]
14,Dikembe Mutombo,4,"[2001, 1998, 1997, 1995]"
15,Alonzo Mourning,2,"[2000, 1999]"
16,Gary Payton,1,[1996]
17,Hakeem Olajuwon,2,"[1994, 1993]"
18,David Robinson,1,[1992]
19,Dennis Rodman,2,"[1991, 1990]"
20,Mark Eaton,2,"[1989, 1985]"
21,Michael Jordan,1,[1988]
22,Michael Cooper,1,[1987]
23,Alvin Robertson,1,[1986]
24,Sidney Moncrief,2,"[1984, 1983]"
