,Player
0,1976 Women's 
1,Gary Blair
2,Pau Gasol
3,Becky Hammon
4,Gene Keady
5,Dirk Nowitzki
6,Tony Parker
7,Gregg Popovich
8,Jim Valvano
9,Dwyane Wade
10,Swin Cash
11,Larry Costello
12,Hugh Evans
13,Manu Ginobili
14,Tim Hardaway
15,Del Harris
16,Lou Hudson
17,Bob Huggins
18,George Karl
19,Theresa Shank-Grentz
20,Marianne Stanley
21,Lindsay Whalen
22,Rick Adelman
23,Chris Bosh
24,Bob Dandridge
25,Cotton Fitzsimmons
26,Yolanda Griffith
27,Lauren Jackson
28,Toni Kukoc
29,Paul Pierce
30,Bill Russell
31,Ben Wallace
32,Chris Webber
33,Jay Wright
34,Kobe Bryant
35,Tamika Catchings
36,Tim Duncan
37,Kevin Garnett
38,Kim Mulkey
39,Barbara Stevens
40,Eddie Sutton
41,Rudy Tomjanovich
42,Al Attles
43,Carl Braun
44,Charles “Chuck” Cooper
45,Vlade Divac
46,Bill Fitch
47,Bobby Jones
48,Sidney Moncrief
49,Jack Sikma
50,Teresa Weatherspoon
51,Paul Westphal
52,Ray Allen
53,Maurice Cheeks
54,"Charles ""Lefty"" Driesell"
55,Grant Hill
56,Jason Kidd
57,Steve Nash
58,Dino Radja
59,Charlie Scott
60,Katie Smith
61,Tina Thompson
62,Rod Thorn
63,Nick Galis
64,Jerry Krause
65,Rebecca Lobo
66,George McGinnis
67,Tracy McGrady
68,Muffet McGraw
69,Bill Self
70,Zelmo Beaty
71,Darell Garretson
72,Allen Iverson
73,Tom Izzo
74,John McLendon
75,Yao Ming
76,Shaquille O'Neal
77,Sheryl Swoopes
78,Dick Bavetta
79,John Calipari
80,Louie Dampier
81,Spencer Haywood
82,Tom Heinsohn
83,Lisa Leslie
84,Dikembe Mutombo
85,George Raveling
86,Jo Jo White
87,Nathaniel Clifton
88,Slick Leonard
89,Sarunas Marciulionis
90,Alonzo Mourning
91,Nolan Richardson
92,Mitch Richmond
93,Guy Rodgers
94,Gary Williams
95,Roger Brown
96,Richie Guerin
97,Sylvia Hatchell
98,Bernard King
99,Guy Lewis
100,Gary Payton
101,Rick Pitino
102,Dawn Staley
103,Jerry Tarkanian
104,Don Barksdale
105,Mel Daniels
106,Reggie Miller
107,Don Nelson
108,Ralph Sampson
109,Chet Walker
110,Jamaal Wilkes
111,Teresa Edwards
112,Artis Gilmore
113,Chris Mullin
114,Dennis Rodman
115,Arvydas Sabonis
116,Tom Sanders
117,Tara VanDerveer
118,Tex Winter
119,1960 USA Men's 
120,1992 USA Men's 
121,Cynthia Cooper-Dyke
122,Dennis Johnson
123,Gus Johnson
124,Karl Malone
125,Scottie Pippen
126,Michael Jordan
127,David Robinson
128,Jerry Sloan
129,John Stockton
130,C. Vivian Stringer
131,Adrian Dantley
132,Bill Davidson
133,Patrick Ewing
134,Hakeem Olajuwon
135,Pat Riley
136,Dick Vitale
137,Van Chancellor
138,Phil Jackson
139,Roy Williams
140,Geno Auriemma
141,Charles Barkley
142,Joe Dumars
143,Dave Gavitt
144,Dominique Wilkins
145,Jim Boeheim
146,Hubie Brown
147,Jim Calhoun
148,Sue Gunter
149,Jerry Colangelo
150,Clyde Drexler
151,Bill Sharman
152,Maurice Stokes
153,Lynette Woodard
154,Leon Barmore
155,Earl Lloyd
156,Robert Parish
157,James Worthy
158,Larry Brown
159,Magic Johnson
160,Lute Olson
161,Drazen Petrovic
162,Kay Yow
163,John Chaney
164,Mike Krzyzewski
165,Moses Malone
166,Danny Biasone
167,Bob McAdoo
168,Pat Summitt
169,Isiah Thomas
170,Wayne Embry
171,Kevin McHale
172,Billie Moore
173,John Thompson
174,Fred Zollner
175,Larry Bird
176,Jody Conradt
177,Alex Hannum
178,Arnie Risen
179,Lenny Wilkens
180,Pete Carril
181,Denise Curry
182,Alex English
183,Don Haskins
184,Bailey Howell
185,George Gervin
186,Gail Goodrich
187,Nancy Lieberman-Cline
188,David Thompson
189,George Yardley
190,Kareem Abdul-Jabbar
191,Anne Donovan
192,John Kundla
193,Vern Mikkelsen
194,Cheryl Miller
195,Earl Strom
196,Denny Crum
197,Chuck Daly
198,Buddy Jeannette
199,Walt Bellamy
200,Julius Erving
201,Dan Issel
202,Dick McGuire
203,Calvin Murphy
204,Bill Walton
205,Lou Carnesecca
206,Lusia Harris-Stewart
207,Connie Hawkins
208,Bob Lanier
209,Alfred McGuire
210,Jack Ramsay
211,Phillip Woolpert
212,Tiny Archibald
213,Dave Cowens
214,Harry Gallatin
215,Bob Knight
216,Dave Bing
217,Elvin Hayes
218,Neil Johnston
219,Earl Monroe
220,K.C. Jones
221,Lenny Wilkens
222,Clyde Lovellette
223,Ralph Miller
224,Wes Unseld
225,Rick Barry
226,Walt Frazier
227,Bob Houbregs
228,Pete Maravich
229,Bobby Wanzer
230,Billy Cunningham
231,Tom Heinsohn
232,Red Holzman
233,Fred Taylor
234,Stanley Watts
235,Harold Anderson
236,Al Cervi
237,Marv Harshman
238,Nate Thurmond
239,Jack Gardner
240,John Havlicek
241,Sam Jones
242,Bill Bradley
243,Dave DeBusschere
244,Dean Smith
245,Jack Twyman
246,Everett Case
247,Alva Duer
248,Hal Greer
249,Slater Martin
250,Frank Ramsey
251,Willis Reed
252,Les Harrison
253,Jerry Lucas
254,Oscar Robertson
255,Everett Shelton
256,Jerry West
257,Sam Barry
258,Wilt Chamberlain
259,Edgar Hickey
260,John McLendon
261,Ray Meyer
262,Pete Newell
263,Paul Arizin
264,Joe Fulks
265,Cliff Hagan
266,Jim Pollard
267,Elgin Baylor
268,Frank McGuire
269,Tom Gola
270,Ed Krause
271,Harry Litwack
272,Bill Sharman
273,Joseph Brennan
274,Bill Russell
275,Harry Fisher
276,Bruce Drake
277,Arthur Lonborg
278,Elmer Ripley
279,Dolph Schayes
280,Edgar Diddle
281,Edward Gottlieb
282,Clifford Wells
283,Bob Cousy
284,Bob Pettit
285,Bernard Carnevale
286,Bob Davies
287,Red Auerbach
288,Dutch Dehnert
289,Henry Iba
290,Adolph Rupp
291,Clair Bee
292,Howard Cann
293,Amory Gill
294,Alvin Julian
295,Everett Dean
296,Joe Lapchick
297,Walter Brown
298,Paul Hinkle
299,Howard Hobson
300,John Bunn
301,Harold Foster
302,Nat Holman
303,Ned Irish
304,Ken Loeffler
305,John Russell
306,William Reid
307,Harlan Page
308,Lynn St. John
309,George Keogan
310,Andy Phillip
311,Leonard Sachs
312,Edward Wachter
313,Ernest Blood
314,Frank Keaney
315,Ward Lambert
316,Ed Macauley
317,Branch McCracken
318,Phog Allen
319,Henry Clifford Carlson
320,Walter Meanwell
321,George Mikan
322,James Naismith
323,Harold Olsen
324,Amos Alonzo Stagg
