,Year,Player
0,2023,Joel Embiid
1,2022,Nikola Jokić
2,2021,Nikola Jokić
3,2020,Giannis Antetokounmpo
4,2019,Giannis Antetokounmpo
5,2018,James Harden
6,2017,Russell Westbrook
7,2016,Stephen Curry
8,2015,Stephen Curry
9,2014,Kevin Durant
10,2013,LeBron James
11,2012,LeBron James
12,2011,Derrick Rose
13,2010,LeBron James
14,2009,LeBron James
15,2008,Kobe Bryant
16,2007,Dirk Nowitzki
17,2006,Steve Nash
18,2005,Steve Nash
19,2004,Kevin Garnett
20,2003,Tim Duncan
21,2002,Tim Duncan
22,2001,Allen Iverson
23,2000,Shaquille O'Neal
24,1999,Karl Malone
25,1998,Michael Jordan
26,1997,Karl Malone
27,1996,Michael Jordan
28,1995,David Robinson
29,1994,Hakeem Olajuwon
30,1993,Charles Barkley
31,1992,Michael Jordan
32,1991,Michael Jordan
33,1990,Magic Johnson
34,1989,Magic Johnson
35,1988,Michael Jordan
36,1987,Magic Johnson
37,1986,Larry Bird
38,1985,Larry Bird
39,1984,Larry Bird
40,1983,Moses Malone
41,1982,Moses Malone
42,1981,Julius Erving
43,1980,Kareem Abdul-Jabbar
44,1979,Moses Malone
45,1978,Bill Walton
46,1977,Kareem Abdul-Jabbar
47,1976,Kareem Abdul-Jabbar
48,1975,Bob McAdoo
49,1974,Kareem Abdul-Jabbar
50,1973,Dave Cowens
51,1972,Kareem Abdul-Jabbar
52,1971,Kareem Abdul-Jabbar
53,1970,Willis Reed
54,1969,Wes Unseld
55,1968,Wilt Chamberlain
56,1967,Wilt Chamberlain
57,1966,Wilt Chamberlain
58,1965,Bill Russell
59,1964,Oscar Robertson
60,1963,Bill Russell
61,1962,Bill Russell
62,1961,Bill Russell
63,1960,Wilt Chamberlain
64,1959,Bob Pettit
65,1958,Bill Russell
66,1957,Bob Cousy
67,1956,Bob Pettit
