,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Date
Donovan Mitchell,UTA,32:24,11,21,.524,3,6,.500,0,0,,0,2,2,4,1,0,2,2,25,-9,2/1/20
Rudy Gobert,UTA,32:04,1,4,.250,0,0,,4,4,1.000,4,7,11,2,1,3,1,4,6,-14,2/1/20
Mike Conley,UTA,30:01,9,20,.450,4,6,.667,0,0,,1,3,4,4,0,0,1,0,22,-4,2/1/20
Bojan Bogdanović,UTA,28:57,6,11,.545,5,9,.556,5,5,1.000,1,1,2,1,1,0,1,3,22,-10,2/1/20
Joe Ingles,UTA,28:02,1,2,.500,1,2,.500,0,0,,0,1,1,5,1,0,1,2,3,-6,2/1/20
Royce O'Neale,UTA,23:28,1,6,.167,1,4,.250,0,0,,0,6,6,1,2,1,1,2,3,-27,2/1/20
Jordan Clarkson,UTA,22:41,4,14,.286,4,8,.500,0,0,,0,1,1,0,0,0,1,1,12,-20,2/1/20
Georges Niang,UTA,18:30,3,10,.300,0,5,.000,0,0,,1,2,3,1,0,0,0,2,6,-4,2/1/20
Ed Davis,UTA,13:17,2,2,1.000,0,0,,0,0,,3,1,4,0,0,0,0,0,4,-7,2/1/20
Juwan Morgan,UTA,2:39,1,1,1.000,0,0,,0,0,,1,0,1,0,0,0,0,0,2,+4,2/1/20
Rayjon Tucker,UTA,2:39,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,0,1,2,+4,2/1/20
Jarrell Brantley,UTA,2:39,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,+4,2/1/20
Emmanuel Mudiay,UTA,2:39,0,2,.000,0,1,.000,0,0,,0,0,0,1,0,0,1,0,0,+4,2/1/20
Team Totals,UTA,240,40,94,.426,18,41,.439,9,9,1.000,11,26,37,19,6,4,9,17,107,,2/1/20
Ben Simmons,PHI,39:06,8,13,.615,0,0,,2,4,.500,3,6,9,10,5,1,1,1,18,+19,11/15/17
J.J. Redick,PHI,34:53,4,15,.267,0,8,.000,3,4,.750,0,8,8,5,1,0,2,4,11,+3,11/15/17
Joel Embiid,PHI,34:29,14,20,.700,2,3,.667,16,19,.842,2,13,15,7,0,7,2,4,46,+19,11/15/17
Dario Šarić,PHI,33:20,3,10,.300,1,7,.143,0,0,,1,5,6,0,0,3,0,1,7,+1,11/15/17
