,Attendance,Time of Game,Venue,Date
0,"19,603",2:08,"Moda Center, Portland, Oregon",2/1/20
0,"18,997",2:19,"STAPLES Center, Los Angeles, California",11/15/17
0,"19,596",2:11,"Oracle Arena, Oakland, California",12/27/17
0,"19,596",2:10,"Golden 1 Center, Sacramento, California",11/3/21
0,"18,306",2:37,"Vivint Smart Home Arena, Salt Lake City, Utah",4/21/22
0,"18,997",2:32,"Crypto.com Arena, Los Angeles, California",2/7/23
0,"19,335",2:15,"Moda Center, Portland, Oregon",12/28/23
0,"18,861",2:13,"Moda Center, Portland, Oregon",12/29/23
0,"17,794",2:18,"Golden 1 Center, Sacramento, California",12/22/23
0,"17,447",2:17,"State Farm Arena, Atlanta, Georgia",1/15/24
