,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Date
Damian Lillard,POR,36:19,17,29,.586,9,15,.600,8,8,1.000,0,2,2,12,1,0,2,2,51,+17,2/1/20
Hassan Whiteside,POR,34:47,7,10,.700,0,0,,3,6,.500,6,15,21,0,1,3,2,2,17,+20,2/1/20
CJ McCollum,POR,34:00,6,14,.429,2,4,.500,0,0,,0,3,3,2,1,1,3,4,14,+14,2/1/20
Carmelo Anthony,POR,32:01,5,15,.333,1,3,.333,4,4,1.000,3,2,5,1,0,0,0,1,15,+9,2/1/20
Trevor Ariza,POR,26:17,3,6,.500,0,1,.000,0,0,,2,5,7,2,0,0,1,4,6,+20,2/1/20
Gary Trent Jr.,POR,24:22,3,9,.333,1,4,.250,0,0,,0,1,1,0,0,0,0,1,7,+6,2/1/20
Anfernee Simons,POR,23:40,3,6,.500,1,1,1.000,0,0,,0,5,5,3,0,0,1,2,7,+9,2/1/20
Caleb Swanigan,POR,12:58,0,0,,0,0,,0,0,,3,3,6,0,0,1,2,2,0,-5,2/1/20
Nassir Little,POR,12:56,3,3,1.000,1,1,1.000,0,0,,0,1,1,0,0,0,0,0,7,-1,2/1/20
Wenyen Gabriel,POR,2:39,0,0,,0,0,,0,0,,0,0,0,0,1,0,1,1,0,-4,2/1/20
Mario Hezonja,POR,Did Not Play,,,,,,,,,,,,,,,,,,,,2/1/20
Jusuf Nurkić,POR,Did Not Dress,,,,,,,,,,,,,,,,,,,,2/1/20
Team Totals,POR,240,47,92,.511,15,29,.517,15,18,.833,14,37,51,20,4,5,12,19,124,,2/1/20
Kentavious Caldwell-Pope,LAL,41:15,4,11,.364,2,8,.250,2,2,1.000,0,7,7,2,1,2,0,1,12,0,11/15/17
Brandon Ingram,LAL,39:46,11,18,.611,0,0,,4,5,.800,4,7,11,3,0,2,2,4,26,-2,11/15/17
Kyle Kuzma,LAL,30:47,9,18,.500,1,4,.250,5,6,.833,4,3,7,1,0,0,2,2,24,-4,11/15/17
Lonzo Ball,LAL,21:25,1,9,.111,0,6,.000,0,0,,3,2,5,2,1,0,2,3,2,-18,11/15/17
Brook Lopez,LAL,15:55,3,12,.250,0,5,.000,2,2,1.000,1,1,2,2,0,0,0,3,8,-11,11/15/17
Jordan Clarkson,LAL,31:40,8,21,.381,0,2,.000,4,4,1.000,3,3,6,5,2,0,0,1,20,+3,11/15/17
Julius Randle,LAL,29:39,2,12,.167,0,1,.000,4,6,.667,3,5,8,1,1,0,3,6,8,+5,11/15/17
Andrew Bogut,LAL,19:39,3,5,.600,0,0,,0,0,,4,6,10,2,1,2,0,2,6,-2,11/15/17
Corey Brewer,LAL,9:54,1,3,.333,0,1,.000,1,2,.500,0,1,1,0,1,0,0,1,3,-1,11/15/17
Vander Blue,LAL,Did Not Play,,,,,,,,,,,,,,,,,,,,11/15/17
Thomas Bryant,LAL,Did Not Play,,,,,,,,,,,,,,,,,,,,11/15/17
Tyler Ennis,LAL,Did Not Play,,,,,,,,,,,,,,,,,,,,11/15/17
