,Player,Games,Team,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,GS,X_All_NBA
0,Al Horford,2.0,ATL/BOS,4.5,11.0,0.409,0.0,0.5,0.000,0.5,1.0,0.409,1.0,6.0,7.0,1.0,1.0,1.0,1.5,1.0,9.5,-5.0,6.4,1
1,Anthony Davis,1.0,LAL,6.0,9.0,0.667,0.0,0.0,0.000,1.0,2.0,0.667,3.0,5.0,8.0,2.0,2.0,1.0,2.0,4.0,13.0,-4.0,12.8,4
2,De'Aaron Fox,13.0,SAC,9.85,18.46,0.533,1.69,4.31,0.393,3.54,5.15,0.533,0.46,3.77,4.23,4.54,1.38,0.54,2.38,2.31,24.92,-1.0,18.38,1
3,Devin Booker,2.0,PHO,10.0,20.5,0.488,1.0,4.0,0.250,6.5,8.0,0.488,1.0,4.5,5.5,6.0,0.5,0.0,1.5,3.5,27.5,-10.5,20.4,1
4,Domantas Sabonis,12.0,IND/SAC,7.75,13.67,0.567,0.5,1.5,0.333,3.42,4.92,0.567,4.17,9.58,13.75,8.83,0.92,0.42,3.0,3.5,19.42,4.33,21.13,1
5,Donovan Mitchell,3.0,UTA,8.33,21.0,0.397,1.67,6.67,0.250,2.0,2.33,0.397,0.0,5.67,5.67,3.67,1.33,0.33,2.67,3.0,20.33,-2.0,10.8,1
6,Draymond Green,1.0,GSW,6.0,10.0,0.600,2.0,5.0,0.400,0.0,0.0,0.600,0.0,8.0,8.0,8.0,0.0,0.0,3.0,1.0,14.0,6.0,14.0,2
7,Dwyane Wade,1.0,MIA,4.0,15.0,0.267,2.0,6.0,0.333,5.0,5.0,0.267,0.0,3.0,3.0,8.0,1.0,1.0,1.0,0.0,15.0,21.0,13.3,8
8,Elton Brand,1.0,ATL,3.0,5.0,0.600,0.0,0.0,0.000,0.0,0.0,0.600,1.0,4.0,5.0,0.0,0.0,1.0,0.0,0.0,6.0,6.0,6.3,1
9,Giannis Antetokounmpo,1.0,MIL,19.0,28.0,0.679,2.0,2.0,1.000,6.0,7.0,0.679,1.0,11.0,12.0,4.0,1.0,0.0,5.0,2.0,46.0,15.0,35.6,7
10,Ja Morant,1.0,MEM,8.0,18.0,0.444,1.0,3.0,0.333,5.0,5.0,0.444,1.0,4.0,5.0,6.0,0.0,0.0,3.0,1.0,22.0,2.0,15.3,1
11,Jaylen Brown,1.0,BOS,11.0,18.0,0.611,3.0,5.0,0.600,5.0,8.0,0.611,1.0,2.0,3.0,0.0,2.0,0.0,2.0,2.0,30.0,-5.0,21.1,1
12,Jayson Tatum,1.0,BOS,12.0,16.0,0.750,7.0,10.0,0.700,1.0,1.0,0.750,0.0,5.0,5.0,4.0,0.0,0.0,2.0,1.0,32.0,40.0,27.5,3
13,Joe Johnson,1.0,UTA,1.0,4.0,0.250,0.0,1.0,0.000,0.0,0.0,0.250,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,-11.0,-0.8,1
14,Kevin Durant,2.0,PHO/GSW,8.0,12.0,0.667,2.0,3.0,0.667,6.5,7.0,0.667,0.0,6.5,6.5,3.0,0.5,1.5,4.5,1.5,24.5,4.0,19.6,10
15,Klay Thompson,1.0,GSW,5.0,12.0,0.417,3.0,5.0,0.600,2.0,2.0,0.417,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,15.0,14.0,7.6,2
16,LeBron James,2.0,LAL,10.5,19.5,0.538,3.5,6.0,0.583,5.5,7.0,0.538,0.0,5.5,5.5,5.0,1.5,0.5,3.5,1.5,30.0,-1.5,22.85,19
17,Pascal Siakam,1.0,TOR,10.0,12.0,0.833,3.0,3.0,1.000,9.0,10.0,0.833,0.0,8.0,8.0,1.0,0.0,2.0,4.0,3.0,32.0,19.0,26.5,2
18,Paul George,1.0,LAC,16.0,31.0,0.516,3.0,10.0,0.300,5.0,5.0,0.516,2.0,4.0,6.0,6.0,2.0,1.0,4.0,2.0,40.0,-4.0,29.4,6
19,Rudy Gobert,3.0,UTA,5.33,8.0,0.667,0.0,0.33,0.000,4.0,5.67,0.667,4.33,8.67,13.0,2.0,0.67,2.67,1.33,2.33,14.67,12.33,17.83,4
20,Russell Westbrook,1.0,LAL,10.0,19.0,0.526,4.0,7.0,0.571,3.0,6.0,0.526,0.0,4.0,4.0,8.0,2.0,1.0,6.0,1.0,27.0,4.0,19.6,9
21,Shai Gilgeous-Alexander,3.0,OKC,13.0,21.67,0.600,1.0,2.0,0.500,6.33,7.33,0.600,0.33,3.0,3.33,6.67,2.0,0.67,2.0,2.0,33.33,-5.0,28.43,1
22,Steve Nash,1.0,LAL,1.0,4.0,0.250,0.0,2.0,0.000,0.0,0.0,0.250,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,-6.0,1.3,7
23,Trae Young,1.0,ATL,12.0,22.0,0.545,3.0,10.0,0.300,3.0,3.0,0.545,2.0,0.0,2.0,12.0,5.0,0.0,5.0,0.0,30.0,-6.0,29.2,1
24,Tyson Chandler,1.0,LAL,1.0,1.0,1.000,0.0,0.0,0.000,0.0,0.0,1.000,0.0,3.0,3.0,0.0,0.0,0.0,1.0,1.0,2.0,-12.0,1.2,1
25,Victor Oladipo,1.0,ORL,9.0,18.0,0.500,0.0,4.0,0.000,4.0,5.0,0.500,2.0,3.0,5.0,2.0,3.0,1.0,0.0,4.0,22.0,2.0,18.4,1
26,Vince Carter,2.0,MEM/ATL,4.0,5.5,0.727,0.5,1.0,0.500,0.5,1.5,0.727,0.5,2.5,3.0,1.0,0.5,0.5,0.5,2.5,9.0,-3.5,7.5,2
27,Zach Randolph,1.0,MEM,5.0,15.0,0.333,1.0,2.0,0.500,4.0,6.0,0.333,2.0,5.0,7.0,7.0,0.0,0.0,1.0,3.0,15.0,-1.0,11.3,1
