,Name,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Date,Games,GS
0,Gordon Hayward,UTA,34:46,5.0,13.0,0.385,2.0,4.0,0.5,3.0,4.0,0.75,0.0,8.0,8.0,7.0,2.0,0.0,4.0,2.0,15.0,12.0,2/11/2014,1,12.0
1,Trey Burke,UTA,28:49,3.0,11.0,0.273,1.0,3.0,0.333,1.0,1.0,1.0,1.0,3.0,4.0,8.0,1.0,0.0,1.0,1.0,8.0,2.0,2/11/2014,1,8.299999999999999
2,Derrick Favors,UTA,27:03,4.0,9.0,0.444,0.0,0.0,0.0,3.0,7.0,0.429,2.0,8.0,10.0,1.0,1.0,3.0,1.0,3.0,11.0,-4.0,2/11/2014,1,10.099999999999998
3,Marvin Williams,UTA,22:29,4.0,8.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,3.0,4.0,7.0,1.0,0.0,0.0,1.0,0.0,9.0,-4.0,2/11/2014,1,7.999999999999998
4,Richard Jefferson,UTA,19:53,0.0,4.0,0.0,0.0,2.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,-13.0,2/11/2014,1,0.9000000000000001
5,Alec Burks,UTA,29:21,8.0,11.0,0.727,1.0,1.0,1.0,7.0,11.0,0.636,2.0,1.0,3.0,0.0,1.0,0.0,1.0,2.0,24.0,25.0,2/11/2014,1,18.799999999999997
6,Jeremy Evans,UTA,25:31,7.0,10.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,5.0,0.0,3.0,2.0,0.0,3.0,14.0,21.0,2/11/2014,1,15.7
7,Enes Freedom,UTA,20:57,3.0,7.0,0.429,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,11.0,0.0,0.0,0.0,2.0,1.0,6.0,21.0,2/11/2014,1,4.0
8,Diante Garrett,UTA,19:11,2.0,8.0,0.25,0.0,2.0,0.0,0.0,0.0,0.0,2.0,4.0,6.0,4.0,1.0,0.0,1.0,1.0,4.0,15.0,2/11/2014,1,4.199999999999999
9,Brandon Rush,UTA,12:00,1.0,4.0,0.25,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,10.0,2/11/2014,1,1.9
