,index,Player,Games,Team,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,GS,Year
0,93,Giannis Antetokounmpo,1.0,MIL,19.0,28.0,0.679,2.0,2.0,1.000,6.0,7.0,0.679,1.0,11.0,12.0,4.0,1.0,0.0,5.0,2.0,46.0,15.0,35.6,2020
1,93,Giannis Antetokounmpo,1.0,MIL,19.0,28.0,0.679,2.0,2.0,1.000,6.0,7.0,0.679,1.0,11.0,12.0,4.0,1.0,0.0,5.0,2.0,46.0,15.0,35.6,2019
2,176,Kevin Durant,2.0,PHO/GSW,8.0,12.0,0.667,2.0,3.0,0.667,6.5,7.0,0.667,0.0,6.5,6.5,3.0,0.5,1.5,4.5,1.5,24.5,4.0,19.6,2014
3,192,LeBron James,2.0,LAL,10.5,19.5,0.538,3.5,6.0,0.583,5.5,7.0,0.538,0.0,5.5,5.5,5.0,1.5,0.5,3.5,1.5,30.0,-1.5,22.85,2013
4,192,LeBron James,2.0,LAL,10.5,19.5,0.538,3.5,6.0,0.583,5.5,7.0,0.538,0.0,5.5,5.5,5.0,1.5,0.5,3.5,1.5,30.0,-1.5,22.85,2012
5,192,LeBron James,2.0,LAL,10.5,19.5,0.538,3.5,6.0,0.583,5.5,7.0,0.538,0.0,5.5,5.5,5.0,1.5,0.5,3.5,1.5,30.0,-1.5,22.85,2010
6,192,LeBron James,2.0,LAL,10.5,19.5,0.538,3.5,6.0,0.583,5.5,7.0,0.538,0.0,5.5,5.5,5.0,1.5,0.5,3.5,1.5,30.0,-1.5,22.85,2009
7,265,Russell Westbrook,1.0,LAL,10.0,19.0,0.526,4.0,7.0,0.571,3.0,6.0,0.526,0.0,4.0,4.0,8.0,2.0,1.0,6.0,1.0,27.0,4.0,19.6,2017
8,279,Steve Nash,1.0,LAL,1.0,4.0,0.250,0.0,2.0,0.000,0.0,0.0,0.250,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,-6.0,1.3,2006
9,279,Steve Nash,1.0,LAL,1.0,4.0,0.250,0.0,2.0,0.000,0.0,0.0,0.250,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,-6.0,1.3,2005
