Name,Games,Wins,Losses,Win%
Harrison Barnes,18,8,10,0.444
Davion Mitchell,16,6,10,0.375
De'Aaron Fox,13,5,8,0.385
Chimezie Metu,13,4,9,0.308
Domantas Sabonis,12,5,7,0.417
Kevin Huerter,10,4,6,0.400
Keegan Murray,9,4,5,0.444
Malik Monk,9,4,5,0.444
Richaun Holmes,9,3,6,0.333
Alex Len,8,3,5,0.375
Trey Lyles,8,3,5,0.375
Buddy Hield,7,4,3,0.571
Damian Jones,7,1,6,0.143
Tyrese Haliburton,6,3,3,0.500
Terence Davis,6,1,5,0.167
Maurice Harkless,5,2,3,0.400
JaVale McGee,4,3,1,0.750
Kessler Edwards,4,3,1,0.750
KZ Okpala,4,1,3,0.250
Derrick Favors,4,1,3,0.250
Joe Ingles,4,1,3,0.250
Chris Duarte,3,3,0,1.000
Nikola Vučević,3,3,0,1.000
Aaron Gordon,3,3,0,1.000
Evan Fournier,3,3,0,1.000
Gordon Hayward,3,2,1,0.667
Tristan Thompson,3,2,1,0.667
Jae Crowder,3,2,1,0.667
D.J. Augustin,3,2,1,0.667
Jaylin Williams,3,1,2,0.333
Justin Holiday,3,1,2,0.333
Donovan Mitchell,3,1,2,0.333
Trey Burke,3,1,2,0.333
Isaiah Joe,3,1,2,0.333
Josh Giddey,3,1,2,0.333
Thabo Sefolosha,3,1,2,0.333
Enes Freedom,3,1,2,0.333
Rudy Gobert,3,1,2,0.333
Jahmi'us Ramsey,3,1,2,0.333
Jalen Williams,3,1,2,0.333
Royce O'Neale,3,1,2,0.333
Shai Gilgeous-Alexander,3,1,2,0.333
Drew Eubanks,3,0,3,0.000
Jerian Grant,2,2,0,1.000
Jonathan Isaac,2,2,0,1.000
Khem Birch,2,2,0,1.000
Terrence Ross,2,2,0,1.000
Mo Bamba,2,2,0,1.000
Isaiah Briscoe,2,2,0,1.000
Jonathon Simmons,2,2,0,1.000
Wes Iwundu,2,2,0,1.000
Hassan Whiteside,2,2,0,1.000
Elfrid Payton,2,2,0,1.000
Sasha Vezenkov,2,2,0,1.000
Al Horford,2,2,0,1.000
Torrey Craig,2,2,0,1.000
Keon Ellis,2,2,0,1.000
Dewayne Dedmon,2,2,0,1.000
Daniel Theis,2,1,1,0.500
Devin Booker,2,1,1,0.500
Kelly Olynyk,2,1,1,0.500
Derrick White,2,1,1,0.500
Kenrich Williams,2,1,1,0.500
Mike Muscala,2,1,1,0.500
Tre Mann,2,1,1,0.500
Kevin Durant,2,1,1,0.500
Grayson Allen,2,1,1,0.500
Jeremy Lamb,2,1,1,0.500
Kyle Korver,2,1,1,0.500
Brandon Ingram,2,1,1,0.500
Neemias Queta,2,1,1,0.500
Matthew Dellavedova,2,1,1,0.500
Svi Mykhailiuk,2,1,1,0.500
Dennis Schröder,2,1,1,0.500
Jonas Valančiūnas,2,1,1,0.500
Juan Toscano-Anderson,2,1,1,0.500
Jose Alvarado,2,1,1,0.500
Jaxson Hayes,2,1,1,0.500
Trey Murphy III,2,1,1,0.500
Naji Marshall,2,1,1,0.500
Marvin Bagley III,2,1,1,0.500
Jarell Martin,2,1,1,0.500
Alec Burks,2,1,1,0.500
Devonte' Graham,2,1,1,0.500
Kris Dunn,2,0,2,0.000
Eric Gordon,2,0,2,0.000
Udoka Azubuike,2,0,2,0.000
Lonnie Walker IV,2,0,2,0.000
Luguentz Dort,2,0,2,0.000
Lindy Waters III,2,0,2,0.000
Donte DiVincenzo,2,0,2,0.000
Ricky Rubio,2,0,2,0.000
Josh Hart,2,0,2,0.000
Vince Carter,2,0,2,0.000
Lance Stephenson,2,0,2,0.000
Dante Exum,2,0,2,0.000
Didi Louzada,2,0,2,0.000
LeBron James,2,0,2,0.000
Jason Smith,1,1,0,1.000
Josh Richardson,1,1,0,1.000
Wayne Ellington,1,1,0,1.000
James Johnson,1,1,0,1.000
Rodney McGruder,1,1,0,1.000
Justise Winslow,1,1,0,1.000
Dwyane Wade,1,1,0,1.000
Bam Adebayo,1,1,0,1.000
Justin Robinson,1,1,0,1.000
Victor Oladipo,1,1,0,1.000
Andrew Nicholson,1,1,0,1.000
Mario Hezonja,1,1,0,1.000
Brandon Jennings,1,1,0,1.000
Klay Thompson,1,1,0,1.000
Draymond Green,1,1,0,1.000
Shaun Livingston,1,1,0,1.000
Zaza Pachulia,1,1,0,1.000
Nick Young,1,1,0,1.000
Jordan Bell,1,1,0,1.000
Patrick McCaw,1,1,0,1.000
Andre Iguodala,1,1,0,1.000
Omri Casspi,1,1,0,1.000
David West,1,1,0,1.000
Kevon Looney,1,1,0,1.000
Bogdan Bogdanović,1,1,0,1.000
Harry Giles,1,1,0,1.000
Trevor Ariza,1,1,0,1.000
Cory Joseph,1,1,0,1.000
Nemanja Bjelica,1,1,0,1.000
Scottie Barnes,1,1,0,1.000
Jordan Clarkson,1,1,0,1.000
Mike Conley,1,1,0,1.000
Bojan Bogdanović,1,1,0,1.000
Justin Champagnie,1,1,0,1.000
Malachi Flynn,1,1,0,1.000
Dalano Banton,1,1,0,1.000
Chris Boucher,1,1,0,1.000
Precious Achiuwa,1,1,0,1.000
Pascal Siakam,1,1,0,1.000
Fred VanVleet,1,1,0,1.000
Gary Trent Jr.,1,1,0,1.000
Goga Bitadze,1,1,0,1.000
Kelan Martin,1,1,0,1.000
Brad Wanamaker,1,1,0,1.000
Caris LeVert,1,1,0,1.000
T.J. McConnell,1,1,0,1.000
