,level_0,index,Player,Games,Team,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,GS
0,0,0,Aaron Gordon,3.0,ORL,7.67,13.67,0.561,2.0,4.33,0.462,1.67,2.67,0.561,2.33,3.33,5.67,2.67,1.33,0.33,1.67,1.67,19.0,9.67,15.83
1,1,1,Aaron Holiday,1.0,PHO,4.0,10.0,0.400,1.0,1.0,1.000,0.0,0.0,0.400,2.0,3.0,5.0,7.0,1.0,0.0,3.0,1.0,9.0,13.0,8.4
2,2,2,Aaron Wiggins,1.0,OKC,2.0,5.0,0.400,1.0,1.0,1.000,0.0,0.0,0.400,0.0,3.0,3.0,0.0,0.0,1.0,0.0,3.0,5.0,4.0,2.7
3,3,3,Al Horford,2.0,ATL/BOS,4.5,11.0,0.409,0.0,0.5,0.000,0.5,1.0,0.409,1.0,6.0,7.0,1.0,1.0,1.0,1.5,1.0,9.5,-5.0,6.4
4,4,4,Alec Burks,2.0,UTA,5.5,9.5,0.579,1.0,2.0,0.500,5.0,7.5,0.579,1.0,1.5,2.5,1.5,0.5,0.0,1.0,2.5,17.0,4.0,12.25
5,5,5,Alex Len,8.0,ATL/SAC,1.75,3.12,0.560,0.12,0.5,0.250,0.25,1.0,0.560,1.25,3.12,4.38,1.0,0.25,1.75,0.88,1.62,3.88,-0.25,4.55
6,6,6,Allonzo Trier,1.0,NYK,2.0,5.0,0.400,1.0,1.0,1.000,2.0,2.0,0.400,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,-11.0,5.3
7,7,7,Alperen Şengün,1.0,HOU,4.0,6.0,0.667,0.0,2.0,0.000,1.0,2.0,0.667,2.0,2.0,4.0,2.0,0.0,1.0,2.0,2.0,9.0,-10.0,7.3
8,8,8,Amir Coffey,1.0,LAC,1.0,1.0,1.000,0.0,0.0,0.000,1.0,2.0,1.000,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,1.6
9,9,9,Andre Iguodala,1.0,GSW,1.0,7.0,0.143,0.0,2.0,0.000,1.0,2.0,0.143,1.0,5.0,6.0,7.0,1.0,0.0,0.0,1.0,3.0,22.0,5.8
10,10,10,Andrew Nicholson,1.0,ORL,3.0,5.0,0.600,3.0,4.0,0.750,1.0,2.0,0.600,0.0,6.0,6.0,1.0,1.0,0.0,0.0,1.0,10.0,7.0,10.4
11,11,11,Anthony Davis,1.0,LAL,6.0,9.0,0.667,0.0,0.0,0.000,1.0,2.0,0.667,3.0,5.0,8.0,2.0,2.0,1.0,2.0,4.0,13.0,-4.0,12.8
12,12,12,Austin Reaves,1.0,LAL,0.0,2.0,0.000,0.0,1.0,0.000,0.0,0.0,0.000,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,-7.0,-1.2
13,13,13,Bam Adebayo,1.0,MIA,1.0,2.0,0.500,0.0,0.0,0.000,0.0,0.0,0.500,1.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,2.0,10.0,4.0
14,14,14,Ben McLemore,1.0,POR,5.0,12.0,0.417,3.0,10.0,0.300,3.0,3.0,0.417,0.0,1.0,1.0,1.0,2.0,0.0,2.0,1.0,16.0,8.0,10.2
15,15,15,Bismack Biyombo,1.0,PHO,0.0,1.0,0.000,0.0,0.0,0.000,0.0,0.0,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,4.0,-2.9
16,16,16,Bobby Portis,1.0,MIL,1.0,1.0,1.000,0.0,0.0,0.000,1.0,2.0,1.000,1.0,2.0,3.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,2.2
17,17,17,Bogdan Bogdanović,1.0,SAC,6.0,9.0,0.667,5.0,6.0,0.833,3.0,3.0,0.667,0.0,4.0,4.0,5.0,1.0,1.0,2.0,2.0,20.0,21.0,19.7
18,18,18,Bojan Bogdanović,1.0,UTA,4.0,9.0,0.444,2.0,5.0,0.400,0.0,0.0,0.444,0.0,4.0,4.0,1.0,1.0,0.0,1.0,0.0,10.0,7.0,7.2
19,19,19,Bol Bol,1.0,PHO,1.0,2.0,0.500,0.0,0.0,0.000,0.0,0.0,0.500,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,1.7
20,20,20,Brad Wanamaker,1.0,IND,0.0,1.0,0.000,0.0,0.0,0.000,1.0,2.0,0.000,0.0,2.0,2.0,2.0,0.0,1.0,3.0,0.0,1.0,-5.0,-0.4
21,21,21,Brandon Clarke,1.0,MEM,6.0,8.0,0.750,0.0,1.0,0.000,4.0,5.0,0.750,0.0,3.0,3.0,3.0,2.0,1.0,1.0,0.0,16.0,11.0,17.1
22,22,22,Brandon Ingram,2.0,LAL/NOP,5.5,12.5,0.440,0.0,2.0,0.000,7.0,8.5,0.440,0.5,5.5,6.0,6.5,0.5,0.0,0.5,1.5,18.0,-1.5,16.8
23,23,23,Brandon Jennings,1.0,ORL,2.0,5.0,0.400,2.0,3.0,0.667,0.0,0.0,0.400,0.0,3.0,3.0,2.0,0.0,0.0,0.0,1.0,6.0,11.0,5.2
24,24,24,Brandon Rush,1.0,UTA,1.0,4.0,0.250,1.0,3.0,0.333,0.0,0.0,0.250,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,10.0,1.9
25,25,25,Brandon Williams,1.0,POR,4.0,10.0,0.400,2.0,6.0,0.333,0.0,0.0,0.400,1.0,1.0,2.0,10.0,1.0,0.0,6.0,2.0,10.0,-5.0,6.8
26,26,26,Brook Lopez,1.0,MIL,9.0,14.0,0.643,4.0,6.0,0.667,1.0,2.0,0.643,1.0,7.0,8.0,4.0,0.0,3.0,1.0,4.0,23.0,21.0,21.5
27,27,27,Bruno Fernando,1.0,ATL,1.0,2.0,0.500,0.0,0.0,0.000,0.0,0.0,0.500,0.0,3.0,3.0,0.0,0.0,0.0,2.0,1.0,2.0,8.0,-0.5
28,28,28,Bryce Cotton,1.0,MEM,1.0,1.0,1.000,0.0,0.0,0.000,0.0,0.0,1.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.7
