Name,Games,Team,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,GS
Aaron Gordon,3.0,ORL,23.0,41.0,0.561,6.0,13.0,0.462,5.0,8.0,0.561,7.0,10.0,17.0,8.0,4.0,1.0,5.0,5.0,57.0,29.0,47.50000000000001
Aaron Holiday,1.0,PHO,4.0,10.0,0.400,1.0,1.0,1.000,0.0,0.0,0.400,2.0,3.0,5.0,7.0,1.0,0.0,3.0,1.0,9.0,13.0,8.4
Aaron Wiggins,1.0,OKC,2.0,5.0,0.400,1.0,1.0,1.000,0.0,0.0,0.400,0.0,3.0,3.0,0.0,0.0,1.0,0.0,3.0,5.0,4.0,2.6999999999999993
Al Horford,2.0,ATL/BOS,9.0,22.0,0.409,0.0,1.0,0.000,1.0,2.0,0.409,2.0,12.0,14.0,2.0,2.0,2.0,3.0,2.0,19.0,-10.0,12.8
Alec Burks,2.0,UTA,11.0,19.0,0.579,2.0,4.0,0.500,10.0,15.0,0.579,2.0,3.0,5.0,3.0,1.0,0.0,2.0,5.0,34.0,8.0,24.499999999999996
Alex Len,8.0,ATL/SAC,14.0,25.0,0.560,1.0,4.0,0.250,2.0,8.0,0.560,10.0,25.0,35.0,8.0,2.0,14.0,7.0,13.0,31.0,-2.0,36.4
Allonzo Trier,1.0,NYK,2.0,5.0,0.400,1.0,1.0,1.000,2.0,2.0,0.400,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,-11.0,5.3
Alperen Şengün,1.0,HOU,4.0,6.0,0.667,0.0,2.0,0.000,1.0,2.0,0.667,2.0,2.0,4.0,2.0,0.0,1.0,2.0,2.0,9.0,-10.0,7.299999999999999
Amir Coffey,1.0,LAC,1.0,1.0,1.000,0.0,0.0,0.000,1.0,2.0,1.000,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,1.6
Andre Iguodala,1.0,GSW,1.0,7.0,0.143,0.0,2.0,0.000,1.0,2.0,0.143,1.0,5.0,6.0,7.0,1.0,0.0,0.0,1.0,3.0,22.0,5.8
Andrew Nicholson,1.0,ORL,3.0,5.0,0.600,3.0,4.0,0.750,1.0,2.0,0.600,0.0,6.0,6.0,1.0,1.0,0.0,0.0,1.0,10.0,7.0,10.399999999999997
Anthony Davis,1.0,LAL,6.0,9.0,0.667,0.0,0.0,0.000,1.0,2.0,0.667,3.0,5.0,8.0,2.0,2.0,1.0,2.0,4.0,13.0,-4.0,12.800000000000002
Austin Reaves,1.0,LAL,0.0,2.0,0.000,0.0,1.0,0.000,0.0,0.0,0.000,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,-7.0,-1.2
Bam Adebayo,1.0,MIA,1.0,2.0,0.500,0.0,0.0,0.000,0.0,0.0,0.500,1.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,2.0,10.0,4.0
Ben McLemore,1.0,POR,5.0,12.0,0.417,3.0,10.0,0.300,3.0,3.0,0.417,0.0,1.0,1.0,1.0,2.0,0.0,2.0,1.0,16.0,8.0,10.200000000000001
Bismack Biyombo,1.0,PHO,0.0,1.0,0.000,0.0,0.0,0.000,0.0,0.0,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,4.0,-2.9000000000000004
Bobby Portis,1.0,MIL,1.0,1.0,1.000,0.0,0.0,0.000,1.0,2.0,1.000,1.0,2.0,3.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,2.2
Bogdan Bogdanović,1.0,SAC,6.0,9.0,0.667,5.0,6.0,0.833,3.0,3.0,0.667,0.0,4.0,4.0,5.0,1.0,1.0,2.0,2.0,20.0,21.0,19.699999999999996
Bojan Bogdanović,1.0,UTA,4.0,9.0,0.444,2.0,5.0,0.400,0.0,0.0,0.444,0.0,4.0,4.0,1.0,1.0,0.0,1.0,0.0,10.0,7.0,7.199999999999999
Bol Bol,1.0,PHO,1.0,2.0,0.500,0.0,0.0,0.000,0.0,0.0,0.500,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,1.7
Brad Wanamaker,1.0,IND,0.0,1.0,0.000,0.0,0.0,0.000,1.0,2.0,0.000,0.0,2.0,2.0,2.0,0.0,1.0,3.0,0.0,1.0,-5.0,-0.40000000000000036
Brandon Clarke,1.0,MEM,6.0,8.0,0.750,0.0,1.0,0.000,4.0,5.0,0.750,0.0,3.0,3.0,3.0,2.0,1.0,1.0,0.0,16.0,11.0,17.099999999999998
Brandon Ingram,2.0,LAL/NOP,11.0,25.0,0.440,0.0,4.0,0.000,14.0,17.0,0.440,1.0,11.0,12.0,13.0,1.0,0.0,1.0,3.0,36.0,-3.0,33.6
Brandon Jennings,1.0,ORL,2.0,5.0,0.400,2.0,3.0,0.667,0.0,0.0,0.400,0.0,3.0,3.0,2.0,0.0,0.0,0.0,1.0,6.0,11.0,5.199999999999999
Brandon Rush,1.0,UTA,1.0,4.0,0.250,1.0,3.0,0.333,0.0,0.0,0.250,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,10.0,1.9
Brandon Williams,1.0,POR,4.0,10.0,0.400,2.0,6.0,0.333,0.0,0.0,0.400,1.0,1.0,2.0,10.0,1.0,0.0,6.0,2.0,10.0,-5.0,6.799999999999999
Brook Lopez,1.0,MIL,9.0,14.0,0.643,4.0,6.0,0.667,1.0,2.0,0.643,1.0,7.0,8.0,4.0,0.0,3.0,1.0,4.0,23.0,21.0,21.500000000000007
Bruno Fernando,1.0,ATL,1.0,2.0,0.500,0.0,0.0,0.000,0.0,0.0,0.500,0.0,3.0,3.0,0.0,0.0,0.0,2.0,1.0,2.0,8.0,-0.5
Bryce Cotton,1.0,MEM,1.0,1.0,1.000,0.0,0.0,0.000,0.0,0.0,1.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.7
Bryn Forbes,1.0,SAS,7.0,12.0,0.583,4.0,8.0,0.500,0.0,0.0,0.583,0.0,1.0,1.0,0.0,1.0,1.0,3.0,1.0,18.0,7.0,11.000000000000002
Buddy Hield,7.0,SAC,43.0,103.0,0.417,27.0,69.0,0.391,11.0,14.0,0.417,8.0,19.0,27.0,13.0,6.0,2.0,8.0,11.0,124.0,0.0,83.3
CJ Elleby,1.0,POR,1.0,9.0,0.111,1.0,6.0,0.167,6.0,7.0,0.111,2.0,5.0,7.0,3.0,0.0,0.0,1.0,2.0,9.0,-1.0,5.9
CJ McCollum,1.0,NOP,9.0,16.0,0.562,3.0,6.0,0.500,4.0,8.0,0.562,0.0,3.0,3.0,4.0,0.0,0.0,4.0,1.0,25.0,11.0,15.100000000000005
Cam Reddish,1.0,ATL,3.0,8.0,0.375,1.0,2.0,0.500,0.0,0.0,0.375,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,7.0,-16.0,3.5
Caris LeVert,1.0,IND,9.0,22.0,0.409,1.0,5.0,0.200,3.0,4.0,0.409,3.0,3.0,6.0,1.0,1.0,1.0,3.0,3.0,22.0,19.0,11.0
Cason Wallace,1.0,OKC,3.0,7.0,0.429,2.0,5.0,0.400,0.0,0.0,0.429,1.0,2.0,3.0,2.0,0.0,1.0,0.0,1.0,8.0,3.0,7.3
Chet Holmgren,1.0,OKC,5.0,12.0,0.417,0.0,3.0,0.000,2.0,3.0,0.417,1.0,6.0,7.0,1.0,1.0,1.0,4.0,2.0,12.0,-13.0,5.299999999999999
Chima Moneke,1.0,SAC,0.0,1.0,0.000,0.0,0.0,0.000,0.0,2.0,0.000,2.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,-9.0,-0.20000000000000018
Chimezie Metu,13.0,PHO/SAC,24.0,66.0,0.364,8.0,28.0,0.286,15.0,16.0,0.364,7.0,35.0,42.0,5.0,10.0,4.0,11.0,20.0,71.0,-27.0,46.699999999999996
Chris Andersen,1.0,MEM,1.0,3.0,0.333,0.0,1.0,0.000,0.0,0.0,0.333,2.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,-25.0,1.2
Chris Boucher,1.0,TOR,3.0,10.0,0.300,1.0,4.0,0.250,3.0,4.0,0.300,3.0,9.0,12.0,1.0,1.0,2.0,0.0,3.0,10.0,4.0,10.499999999999996
Chris Duarte,3.0,IND/SAC,6.0,16.0,0.375,2.0,8.0,0.250,1.0,2.0,0.375,1.0,6.0,7.0,2.0,2.0,0.0,3.0,4.0,15.0,12.0,7.1
Chris Kaman,1.0,LAL,11.0,24.0,0.458,0.0,0.0,0.000,3.0,3.0,0.458,4.0,10.0,14.0,4.0,1.0,3.0,3.0,3.0,25.0,-5.0,20.100000000000005
Christian Wood,1.0,HOU,8.0,15.0,0.533,4.0,7.0,0.571,6.0,6.0,0.533,0.0,8.0,8.0,0.0,2.0,1.0,2.0,5.0,26.0,5.0,19.799999999999997
Cory Joseph,1.0,SAC,4.0,8.0,0.500,1.0,2.0,0.500,0.0,0.0,0.500,0.0,4.0,4.0,4.0,0.0,2.0,1.0,2.0,9.0,11.0,8.6
D.J. Augustin,3.0,HOU/ORL,13.0,17.0,0.765,7.0,7.0,1.000,12.0,14.0,0.765,0.0,6.0,6.0,14.0,0.0,0.0,7.0,7.0,45.0,24.0,39.3
Dalano Banton,1.0,TOR,1.0,2.0,0.500,0.0,0.0,0.000,2.0,2.0,0.500,1.0,2.0,3.0,1.0,0.0,0.0,0.0,2.0,4.0,5.0,4.2
Damian Jones,7.0,UTA/ATL/SAC,21.0,36.0,0.583,3.0,6.0,0.500,7.0,11.0,0.583,14.0,14.0,28.0,3.0,3.0,5.0,4.0,7.0,52.0,-32.0,49.4
