,Player,X_DPOY,Years
0,Marcus Smart,1,[2022]
1,Rudy Gobert,3,"[2021, 2019, 2018]"
2,Giannis Antetokounmpo,1,[2020]
3,Draymond Green,1,[2017]
4,Kawhi Leonard,2,"[2016, 2015]"
5,Joakim Noah,1,[2014]
6,Marc Gasol,1,[2013]
7,Tyson Chandler,1,[2012]
8,Dwight Howard,3,"[2011, 2010, 2009]"
9,Kevin Garnett,1,[2008]
10,Marcus Camby,1,[2007]
11,Ben Wallace,4,"[2006, 2005, 2003, 2002]"
12,Metta World Peace,1,[2004]
13,Dikembe Mutombo,4,"[2001, 1998, 1997, 1995]"
14,Alonzo Mourning,2,"[2000, 1999]"
15,Gary Payton,1,[1996]
16,Hakeem Olajuwon,2,"[1994, 1993]"
17,David Robinson,1,[1992]
18,Dennis Rodman,2,"[1991, 1990]"
19,Mark Eaton,2,"[1989, 1985]"
20,Michael Jordan,1,[1988]
21,Michael Cooper,1,[1987]
22,Alvin Robertson,1,[1986]
23,Sidney Moncrief,2,"[1984, 1983]"
