Date,Home,Visitor,Sport
7/27/2007,San Francisco Giants,Florida Marlins,MLB
7/28/2007,San Francisco Giants,Florida Marlins,MLB
9/5/2008,St. Louis Cardinals,Florida Marlins,MLB
9/6/2008,St. Louis Cardinals,Florida Marlins,MLB
7/25/2009,Los Angeles Angels of Anaheim,Minnesota Twins,MLB
7/26/2009,Los Angeles Dodgers,Florida Marlins,MLB
8/22/2009,San Diego Padres,St. Louis Cardinals,MLB
4/24/2010,San Francisco Giants,St. Louis Cardinals,MLB
9/4/2010,Fresno State Bulldogs,Cincinnati Bearcats,NCAA FB
9/26/2010,Arizona Diamondbacks,Los Angeles Dodgers,MLB
10/28/2010,San Francisco Giants,Texas Rangers,MLB
4/28/2012,Fresno Grizzlies,Colorado Springs Sky Sox,MiLB
7/14/2012,San Francisco Giants,Houston Astros,MLB
9/11/2012,San Diego Padres,St. Louis Cardinals,MLB
10/13/2012,UCLA Bruins,Utah Utes,NCAA FB
10/14/2012,San Francisco Giants,St. Louis Cardinals,MLB
11/3/2012,UCLA Bruins,Arizona Wildcats,NCAA FB
11/13/2012,UCLA Bruins,UC Irvine Anteaters,NCAA BB
11/17/2012,UCLA Bruins,Southern California Trojans,NCAA FB
11/28/2012,UCLA Bruins,CS Northridge Matadors,NCAA BB
1/19/2013,UCLA Bruins,Oregon Ducks,NCAA BB
3/2/2013,UCLA Bruins,Arizona Wildcats,NCAA BB
5/24/2013,Los Angeles Dodgers,St. Louis Cardinals,MLB
8/21/2013,San Francisco Giants,Boston Red Sox,MLB
8/30/2013,Los Angeles Dodgers,San Diego Padres,MLB
8/31/2013,UCLA Bruins,Nevada Wolf Pack,NCAA FB
9/21/2013,UCLA Bruins,New Mexico State Aggies,NCAA FB
10/12/2013,UCLA Bruins,California Golden Bears,NCAA FB
11/2/2013,UCLA Bruins,Colorado Buffaloes,NCAA FB
11/12/2013,UCLA Bruins,Oakland Golden Grizzlies,NCAA BB
11/15/2013,UCLA Bruins,Washington Huskies,NCAA FB
1/9/2014,UCLA Bruins,Arizona Wildcats,NCAA BB
2/11/2014,Los Angeles Lakers,Utah Jazz,NBA
2/14/2014,UCLA Bruins,Portland Pilots,NCAA Baseball
3/4/2014,UCLA Bruins,Michigan Wolverines,NCAA Softball
4/26/2014,UCLA Bruins,USC Trojans,NCAA Baseball
6/26/2014,Los Angeles Dodgers,St. Louis Cardinals,MLB
7/5/2014,Oakland Athletics,Toronto Blue Jays,MLB
7/11/2014,Philadelphia Phillies,Washington Nationals,MLB
7/20/2014,New York Yankees,Cincinnati Reds,MLB
8/7/2014,Los Angeles Angels of Anaheim,Los Angeles Dodgers,MLB
8/31/2014,Los Angeles Angels of Anaheim,Oakland Athletics,MLB
9/6/2014,UCLA Bruins,Memphis Tigers,NCAA FB
10/2/2014,Los Angeles Angels of Anaheim,Kansas City Royals,MLB
10/11/2014,UCLA Bruins,Oregon Ducks,NCAA FB
11/22/2014,UCLA Bruins,Southern California Trojans,NCAA FB
12/6/2014,UCLA Bruins,UNC Tarheels,NCAAM Soccer
1/2/2015,Utah Jazz,Atlanta Hawks,NBA
2/28/2015,UCLA Bruins,Michigan State Spartans,NCAA Baseball
3/14/2015,UCLA Bruins,Washington Huskies,NCAA Baseball
4/21/2015,UCLA Bruins,UC Irvine Anteaters,NCAA Baseball
5/23/2015,Los Angeles Dodgers,San Diego Padres,MLB
6/1/2015,Maryland Terrapins,UCLA Bruins,NCAA Baseball
6/6/2015,Los Angeles Dodgers,St. Louis Cardinals,MLB
6/19/2015,Los Angeles Dodgers,San Francisco Giants,MLB
8/23/2015,San Diego Padres,St. Louis Cardinals,MLB
8/29/2015,San Francisco Giants,St. Louis Cardinals,MLB
10/3/2015,UCLA Bruins,Arizona State Sun Devils,NCAA FB
1/7/2016,UCLA Bruins,Arizona Wildcats,NCAA BB
3/25/2016,Netherlands,France,FIFA
4/3/2016,Orlando Magic,Memphis Grizzlies,NBA
5/14/2016,Visalia Rawhide,High Desert Mavericks,MiLB
6/4/2016,Ecuador,Brazil,FIFA
7/4/2016,Fresno Grizzlies,Sacramento River Cats,MiLB
7/18/2016,Colorado Rockies,Tampa Bay Rays,MLB
7/23/2016,Milwaukee Brewers,Chicago Cubs,MLB
7/23/2016,Chicago White Sox,Detroit Tigers,MLB
7/24/2016,Chicago White Sox,Detroit Tigers,MLB
7/26/2016,Minnesota Twins,Atlanta Braves,MLB
7/29/2016,Chicago Cubs,Seattle Mariners,MLB
8/7/2016,St. Louis Cardinals,Atlanta Braves,MLB
9/3/2016,Cincinnati Reds,St. Louis Cardinals,MLB
9/20/2016,Milwaukee Brewers,Pittsburgh Pirates,MLB
9/25/2016,Detroit Tigers,Kansas City Royals,MLB
10/15/2016,Wisconsin Badgers,Ohio State Buckeyes,NCAA FB
12/4/2016,New Orleans Saints,Detroit Lions,NFL
12/21/2016,UCLA Bruins,Western Michigan Broncos,NCAA BB
1/14/2017,Illinois State Redbirds,Wichita State Shockers,NCAA BB
3/4/2017,UCLA Bruins,Washington State Cougars,NCAA BB
3/24/2017,Kentucky Wildcats,UCLA Bruins,NCAA BB
3/24/2017,North Carolina Tar Heels,Butler Bulldogs,NCAA BB
4/29/2017,Seattle Sounders,New England Revolution,MLS
