,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Date
Gordon Hayward,UTA,34:46,5,13,.385,2,4,.500,3,4,.750,0,8,8,7,2,0,4,2,15,+12,2/11/2014
Trey Burke,UTA,28:49,3,11,.273,1,3,.333,1,1,1.000,1,3,4,8,1,0,1,1,8,+2,2/11/2014
Derrick Favors,UTA,27:03,4,9,.444,0,0,,3,7,.429,2,8,10,1,1,3,1,3,11,-4,2/11/2014
Marvin Williams,UTA,22:29,4,8,.500,1,2,.500,0,0,,3,4,7,1,0,0,1,0,9,-4,2/11/2014
Richard Jefferson,UTA,19:53,0,4,.000,0,2,.000,2,2,1.000,0,1,1,2,0,0,0,0,2,-13,2/11/2014
Alec Burks,UTA,29:21,8,11,.727,1,1,1.000,7,11,.636,2,1,3,0,1,0,1,2,24,+25,2/11/2014
Jeremy Evans,UTA,25:31,7,10,.700,0,0,,0,0,,3,2,5,0,3,2,0,3,14,+21,2/11/2014
Enes Freedom,UTA,20:57,3,7,.429,0,0,,0,0,,2,9,11,0,0,0,2,1,6,+21,2/11/2014
Diante Garrett,UTA,19:11,2,8,.250,0,2,.000,0,0,,2,4,6,4,1,0,1,1,4,+15,2/11/2014
Brandon Rush,UTA,12:00,1,4,.250,1,3,.333,0,0,,0,0,0,0,1,1,0,1,3,+10,2/11/2014
Andris Biedriņš,UTA,Did Not Play,,,,,,,,,,,,,,,,,,,,2/11/2014
Rudy Gobert,UTA,Did Not Play,,,,,,,,,,,,,,,,,,,,2/11/2014
John Lucas III,UTA,Did Not Play,,,,,,,,,,,,,,,,,,,,2/11/2014
Team Totals,UTA,240,37,85,.435,6,17,.353,16,25,.640,15,40,55,23,10,6,11,14,96,,2/11/2014
Jeff Teague,ATL,35:41,9,17,.529,2,4,.500,6,7,.857,0,4,4,8,3,0,0,0,26,+24,1/2/2015
DeMarre Carroll,ATL,33:53,3,9,.333,0,4,.000,4,5,.800,1,6,7,3,1,0,2,2,10,+1,1/2/2015
Paul Millsap,ATL,33:42,2,11,.182,1,3,.333,10,10,1.000,3,8,11,4,0,0,2,4,15,+22,1/2/2015
Kyle Korver,ATL,32:00,3,5,.600,1,3,.333,2,2,1.000,2,6,8,2,1,0,1,6,9,+28,1/2/2015
Al Horford,ATL,29:13,6,13,.462,0,0,,1,2,.500,1,4,5,0,1,2,2,0,13,0,1/2/2015
Elton Brand,ATL,18:47,3,5,.600,0,0,,0,0,,1,4,5,0,0,1,0,0,6,+6,1/2/2015
Thabo Sefolosha,ATL,17:45,2,5,.400,0,2,.000,2,2,1.000,1,0,1,4,3,0,1,1,6,-9,1/2/2015
Mike Scott,ATL,14:18,3,8,.375,1,4,.250,1,2,.500,1,0,1,1,0,0,1,0,8,-16,1/2/2015
Kent Bazemore,ATL,12:22,2,6,.333,1,3,.333,0,0,,0,3,3,0,0,0,0,2,5,-8,1/2/2015
Dennis Schröder,ATL,12:19,0,2,.000,0,0,,0,0,,1,1,2,2,0,0,1,2,0,-18,1/2/2015
Pero Antić,ATL,Did Not Play,,,,,,,,,,,,,,,,,,,,1/2/2015
Shelvin Mack,ATL,Did Not Play,,,,,,,,,,,,,,,,,,,,1/2/2015
Mike Muscala,ATL,Did Not Play,,,,,,,,,,,,,,,,,,,,1/2/2015
Team Totals,ATL,240,33,81,.407,6,23,.261,26,30,.867,11,36,47,24,9,3,10,17,98,,1/2/2015
Matt Barnes,MEM,36:03,8,17,.471,5,10,.500,3,3,1.000,0,6,6,1,0,1,4,4,24,-13,4/3/2016
Zach Randolph,MEM,31:40,5,15,.333,1,2,.500,4,6,.667,2,5,7,7,0,0,1,3,15,-1,4/3/2016
Chris Andersen,MEM,15:59,1,3,.333,0,1,.000,0,0,,2,1,3,0,0,0,0,2,2,-25,4/3/2016
Jordan Farmar,MEM,14:14,1,5,.200,0,3,.000,0,0,,0,0,0,3,1,0,2,1,2,-7,4/3/2016
Tony Allen,MEM,14:01,5,8,.625,0,2,.000,0,0,,3,2,5,1,0,0,1,0,10,-8,4/3/2016
Xavier Munford,MEM,33:46,4,8,.500,1,1,1.000,1,2,.500,0,2,2,1,2,0,3,3,10,-5,4/3/2016
JaMychal Green,MEM,29:59,5,9,.556,0,0,,1,4,.250,3,7,10,3,0,1,0,4,11,-2,4/3/2016
Vince Carter,MEM,24:25,6,9,.667,1,2,.500,0,1,.000,0,3,3,2,1,0,1,1,13,-6,4/3/2016
Lance Stephenson,MEM,22:45,4,11,.364,0,0,,3,4,.750,0,4,4,3,0,1,1,1,11,-4,4/3/2016
Jarell Martin,MEM,15:36,1,3,.333,0,0,,5,6,.833,2,4,6,1,0,0,1,2,7,+11,4/3/2016
Bryce Cotton,MEM,0:46,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,0,4/3/2016
Ryan Hollins,MEM,0:46,0,0,,0,0,,0,0,,0,0,0,0,0,1,0,0,0,0,4/3/2016
P.J. Hairston,MEM,Did Not Dress,,,,,,,,,,,,,,,,,,,,4/3/2016
Team Totals,MEM,240,41,89,.461,8,21,.381,17,26,.654,12,34,46,22,4,4,14,21,107,,4/3/2016
Donovan Mitchell,UTA,34:45,6,17,.353,1,6,.167,4,5,.800,0,7,7,3,2,1,3,4,17,-11,12/27/2017
Thabo Sefolosha,UTA,32:49,4,12,.333,1,2,.500,2,2,1.000,3,5,8,1,2,1,2,3,11,-14,12/27/2017
Ricky Rubio,UTA,25:31,5,13,.385,0,2,.000,0,0,,0,2,2,2,2,0,1,1,10,-9,12/27/2017
Derrick Favors,UTA,25:30,7,11,.636,0,0,,3,4,.750,5,5,10,1,0,0,0,4,17,-6,12/27/2017
Joe Ingles,UTA,24:03,1,4,.250,1,2,.500,0,0,,0,4,4,7,0,0,4,2,3,-24,12/27/2017
Rodney Hood,UTA,29:16,9,20,.450,2,5,.400,6,8,.750,2,3,5,0,3,0,1,1,26,-22,12/27/2017
Ekpe Udoh,UTA,22:30,0,0,,0,0,,0,0,,0,1,1,1,1,0,0,1,0,-19,12/27/2017
Alec Burks,UTA,20:04,3,8,.375,1,3,.333,3,4,.750,0,2,2,3,0,0,1,3,10,-17,12/27/2017
Joe Johnson,UTA,15:11,1,4,.250,0,1,.000,0,0,,0,1,1,1,0,0,1,1,2,-11,12/27/2017
Royce O'Neale,UTA,10:21,1,3,.333,0,2,.000,3,4,.750,0,3,3,2,0,0,0,2,5,+8,12/27/2017
Rudy Gobert,UTA,Did Not Dress,,,,,,,,,,,,,,,,,,,,12/27/2017
Jonas Jerebko,UTA,Did Not Play,,,,,,,,,,,,,,,,,,,,12/27/2017
Naz Mitrou-Long,UTA,Did Not Play,,,,,,,,,,,,,,,,,,,,12/27/2017
Team Totals,UTA,240,37,92,.402,6,23,.261,21,27,.778,10,33,43,21,10,2,13,22,101,,12/27/2017
Brandon Ingram,LAL,33:39,7,13,.538,0,2,.000,3,4,.750,0,6,6,7,0,0,0,1,17,-7,11/17/2018
Lonzo Ball,LAL,28:13,0,5,.000,0,3,.000,0,0,,0,5,5,4,2,1,3,4,0,-9,11/17/2018
Kyle Kuzma,LAL,27:09,3,10,.300,1,4,.250,1,2,.500,0,6,6,0,0,2,5,2,8,-7,11/17/2018
LeBron James,LAL,25:53,8,19,.421,3,6,.500,3,4,.750,0,4,4,7,0,1,3,0,22,-11,11/17/2018
JaVale McGee,LAL,15:55,5,7,.714,0,0,,1,2,.500,3,1,4,0,0,0,1,1,11,-6,11/17/2018
Kentavious Caldwell-Pope,LAL,28:19,3,9,.333,0,3,.000,4,4,1.000,3,1,4,0,0,0,0,3,10,-6,11/17/2018
Lance Stephenson,LAL,21:40,6,9,.667,1,3,.333,6,6,1.000,1,5,6,3,2,0,1,1,19,-2,11/17/2018
Josh Hart,LAL,20:11,5,7,.714,3,4,.750,0,0,,0,2,2,1,0,2,0,2,13,-17,11/17/2018
Tyson Chandler,LAL,17:21,1,1,1.000,0,0,,0,0,,0,3,3,0,0,0,1,1,2,-12,11/17/2018
Svi Mykhailiuk,LAL,10:30,2,3,.667,2,3,.667,2,2,1.000,0,0,0,0,0,0,0,1,8,+5,11/17/2018
Michael Beasley,LAL,9:04,3,6,.500,0,1,.000,1,1,1.000,1,0,1,0,1,0,0,4,7,+5,11/17/2018
Moritz Wagner,LAL,2:06,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,+2,11/17/2018
Ivica Zubac,LAL,Did Not Play,,,,,,,,,,,,,,,,,,,,11/17/2018
Team Totals,LAL,240,43,90,.478,10,30,.333,21,25,.840,8,33,41,22,5,6,14,20,117,,11/17/2018
Tim Hardaway Jr.,NYK,35:57,9,20,.450,5,10,.500,9,10,.900,1,1,2,2,3,0,1,2,32,-24,11/18/2018
Kevin Knox,NYK,23:26,2,8,.250,0,3,.000,0,0,,1,1,2,0,0,0,1,3,4,-17,11/18/2018
Emmanuel Mudiay,NYK,22:40,5,8,.625,0,1,.000,2,4,.500,1,0,1,2,0,0,2,3,12,-21,11/18/2018
Allonzo Trier,NYK,12:41,2,5,.400,1,1,1.000,2,2,1.000,1,1,2,0,0,0,0,0,7,-11,11/18/2018
Mitchell Robinson,NYK,8:42,0,1,.000,0,0,,0,0,,2,0,2,0,1,0,0,5,0,-3,11/18/2018
Enes Freedom,NYK,37:41,8,16,.500,0,1,.000,5,5,1.000,8,11,19,3,0,1,4,3,21,-4,11/18/2018
Noah Vonleh,NYK,34:32,2,5,.400,1,1,1.000,2,2,1.000,2,7,9,1,0,1,2,4,7,-4,11/18/2018
