,Player
0,Swin Cash
1,Larry Costello
2,Hugh Evans
3,Manu Ginobili
4,Tim Hardaway
5,Del Harris
6,Lou Hudson
7,Bob Huggins
8,George Karl
9,Theresa Shank-Grentz
10,Marianne Stanley
11,Lindsay Whalen
12,Rick Adelman
13,Chris Bosh
14,Bob Dandridge
15,Cotton Fitzsimmons
16,Yolanda Griffith
17,Lauren Jackson
18,Toni Kukoc
19,Paul Pierce
20,Bill Russell
21,Ben Wallace
22,Chris Webber
23,Jay Wright
24,Kobe Bryant
25,Tamika Catchings
26,Tim Duncan
27,Kevin Garnett
28,Kim Mulkey
29,Barbara Stevens
30,Eddie Sutton
31,Rudy Tomjanovich
32,Al Attles
33,Carl Braun
34,Charles “Chuck” Cooper
35,Vlade Divac
36,Bill Fitch
37,Bobby Jones
38,Sidney Moncrief
39,Jack Sikma
40,Teresa Weatherspoon
41,Paul Westphal
42,Ray Allen
43,Maurice Cheeks
44,"Charles ""Lefty"" Driesell"
45,Grant Hill
46,Jason Kidd
47,Steve Nash
48,Dino Radja
49,Charlie Scott
50,Katie Smith
51,Tina Thompson
52,Rod Thorn
53,Nick Galis
54,Jerry Krause
55,Rebecca Lobo
56,George McGinnis
57,Tracy McGrady
58,Muffet McGraw
59,Bill Self
60,Zelmo Beaty
61,Darell Garretson
62,Allen Iverson
63,Tom Izzo
64,John McLendon
65,Yao Ming
66,Shaquille O'Neal
67,Sheryl Swoopes
68,Dick Bavetta
69,John Calipari
70,Louie Dampier
71,Spencer Haywood
72,Tom Heinsohn
73,Lisa Leslie
74,Dikembe Mutombo
75,George Raveling
76,Jo Jo White
77,Nathaniel Clifton
78,Slick Leonard
79,Sarunas Marciulionis
80,Alonzo Mourning
81,Nolan Richardson
82,Mitch Richmond
83,Guy Rodgers
84,Gary Williams
85,Roger Brown
86,Richie Guerin
87,Sylvia Hatchell
88,Bernard King
89,Guy Lewis
90,Gary Payton
91,Rick Pitino
92,Dawn Staley
93,Jerry Tarkanian
94,Don Barksdale
95,Mel Daniels
96,Reggie Miller
97,Don Nelson
98,Ralph Sampson
99,Chet Walker
100,Jamaal Wilkes
101,Teresa Edwards
102,Artis Gilmore
103,Chris Mullin
104,Dennis Rodman
105,Arvydas Sabonis
106,Tom Sanders
107,Tara VanDerveer
108,Tex Winter
109,1960 USA Men's 
110,1992 USA Men's 
111,Cynthia Cooper-Dyke
112,Dennis Johnson
113,Gus Johnson
114,Karl Malone
115,Scottie Pippen
116,Michael Jordan
117,David Robinson
118,Jerry Sloan
119,John Stockton
120,C. Vivian Stringer
121,Adrian Dantley
122,Bill Davidson
123,Patrick Ewing
124,Hakeem Olajuwon
125,Pat Riley
126,Dick Vitale
127,Van Chancellor
128,Phil Jackson
129,Roy Williams
130,Geno Auriemma
131,Charles Barkley
132,Joe Dumars
133,Dave Gavitt
134,Dominique Wilkins
135,Jim Boeheim
136,Hubie Brown
137,Jim Calhoun
138,Sue Gunter
139,Jerry Colangelo
140,Clyde Drexler
141,Bill Sharman
142,Maurice Stokes
143,Lynette Woodard
144,Leon Barmore
145,Earl Lloyd
146,Robert Parish
147,James Worthy
148,Larry Brown
