MLB_Teams,MLB_Codes,NBA_Teams,NBA_Codes,NFL_Teams,NFL_Codes,NHL_Teams,NHL_Codes,MLS_Codes
Arizona Diamondbacks,ARI,Los Angeles Lakers,LAL,Buffalo Bills,BUF,Florida Panthers,FLA,Atlanta-United
Atlanta Braves,ATL,Charlotte Hornets,CHO,Miami Dolphins,MIA,Toronto Maple Leafs,TOR,Austin-FC
Baltimore Orioles,BAL,Oklahoma City Thunder,OKC,New York Jets,NYJ,Tampa Bay Lightning,TBL,CF-Montreal
Boston Red Sox,BOS,Utah Jazz,UTA,New England Patriots,NWE,Boston Bruins,BOS,Charlotte-FC
Chicago Cubs,CHN,Denver Nuggets,DEN,Cincinnati Bengals,CIN,Buffalo Sabers,BUF,Chicago-Fire
Chicago White Sox,CHA,Pheonix Suns,PHO,Pittsburgh Steelers,PIT,Detroit Redwings,DET,Colorado-Rapids
Cincinnati Reds,CIN,Los Angeles Clippers,LAC,Cleveland Browns,CLE,Ottawa Senators,OTT,Columbus-Crew
Cleveland Guardians,CLE,Minnesota Timberwolves,MIN,Baltimore Ravens,BAL,Montreal Canadans,MTL,DC-United
Colorado Rockies,COL,San Antonio Spurs,SAS,Tennessee Titans,TEN,Carolina Hurricanes,CAR,FC-Cincinnati
Detroit Tigers,DET,Chicago Bulls,CHI,Indianapolis Colts,IND,New York Rangers,NYR,FC-Dallas
Houston Astros,HOU,Houston Rockets,HOU,Houston Texans,HOU,Pittsburgh Penguins,PIT,Houston-Dynamo
Kansas City Royals,KCA,Detroit Pistons,DET,Jacksonville Jaguars,JAX,Washington Capitals,WSH,Inter-Miami
Los Angeles Angels,ANA,Philadelphia 76ers,PHI,Kansas City Chiefs,KAN,New York Islanders,NYI,LA-Galaxy
Los Angeles Dodgers,LAN,Indiana Pacers,IND,Las Vegas Raiders,LVR,Columbus Blue Jackets,CBJ,Los-Angeles-FC
Miami Marlins,MIA,New York Knicks,NYK,Los Angeles Chargers,LAC,New Jersey Devils,NJD,Minnesota-United
Florida Marlins,FLO,Portland Trailblazers,POR,Denver Broncos,DEN,Philadelphia Fliers,PHI,Nashville-SC
Milwaukee Brewers,MIL,Golden State Warriors,GSW,Dallas Cowboys,DAL,Colorado Avalanche,COL,New-England-Revolution
Minnesota Twins,MIN,Sacramento Kings,SAC,Philadelphia Eagles,PHI,Minnesota Wild,MIN,New-York-Red-Bulls
New York Mets,NYN,Orlando Magic,ORL,Washington Commanders,WAS,St Louis Blues,STL,New-York-City-FC
New York Yankees,NYA,Toronto Raptors,TOR,New York Giants,NYG,Dallas Stars,DAL,Orlando-City
Oakland Athletics,OAK,Boston Celtics,BOS,Green Bay Packers,GNB,Nashville Predators,NSH,Philadelphia-Union
Philadelphia Phillies,PHI,Brooklyn Nets,BRK,Minnesota Vikings,MIN,Winnipeg Jets,WPG,Portland-Timbers
Pittsburgh Pirates,PIT,Miami Heat,MIA,Chicago Bears,CHI,Chicago Blackhawks,CHI,Real-Salt-Lake
San Diego Padres,SDN,Washington Wizards,WAS,Detroit Lions,DET,Arizona Coyotes,ARI,San-Jose-Earthquakes
San Francisco Giants,SFN,Cleveland Caveliers,CLE,Tampa Bay Buccaneers,TAM,Calgary Flames,CGY,Seattle-Sounders-FC
Seattle Mariners,SEA,New Orleans Pelicans,NOP,New Orleans Saints,NOR,Edmonton Oilers,EDM,Sporting-KC
St. Louis Cardinals,SLN,Dallas Mavericks,DAL,Atlanta Falcons,ATL,Los Angeles Kings,LAK,Toronto-FC
Tampa Bay Rays,TBA,Atlanta Hawks,ATL,Caronlina Panthers,CAR,Las Vegas Golden Knights,VEG,Vancouver-Whitecaps-FC
Texas Rangers,TEX,Milwaukee Bucks,MIL,Los Angeles Rams,LAR,Vancouver Canucks,VAN,
Toronto Blue Jays,TOR,Memphis Grizzlies,MEM,Arizona Cardinals,ARI,San Jose Sharks,SJS,
Washington Nationals,WAS,,,San Francisco 49ers,SFO,Anaheim Ducks,ANA,
,,,,Seattle Seahawks,SEA,Seattle Kraken,SEA,
