,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Date
Wesley Johnson,37:21,7,14,.500,1,3,.333,0,0,,0,6,6,0,0,0,2,3,15,-14,2/11/2014
Chris Kaman,36:44,11,24,.458,0,0,,3,3,1.000,4,10,14,4,1,3,3,3,25,-5,2/11/2014
Steve Blake,36:25,2,11,.182,1,4,.250,0,0,,2,3,5,8,2,0,1,2,5,-3,2/11/2014
Shawne Williams,36:13,4,8,.500,2,4,.500,1,2,.500,1,5,6,0,0,2,0,3,11,-10,2/11/2014
Steve Nash,16:35,1,4,.250,0,2,.000,0,0,,0,1,1,2,0,0,0,0,2,-6,2/11/2014
Kendall Marshall,31:59,3,13,.231,0,3,.000,1,1,1.000,1,2,3,7,3,0,4,1,7,-13,2/11/2014
Ryan Kelly,17:54,1,1,1.000,0,0,,1,3,.333,1,0,1,0,0,1,0,0,3,-4,2/11/2014
Jordan Hill,17:23,2,6,.333,0,0,,3,4,.750,0,1,1,0,0,0,0,2,7,-20,2/11/2014
Robert Sacre,9:26,2,4,.500,0,0,,0,0,,1,2,3,0,0,1,1,1,4,-10,2/11/2014
Nick Young,Did Not Dress,,,,,,,,,,,,,,,,,,,,2/11/2014
Jodie Meeks,Did Not Dress,,,,,,,,,,,,,,,,,,,,2/11/2014
Pau Gasol,Did Not Dress,,,,,,,,,,,,,,,,,,,,2/11/2014
Jordan Farmar,Did Not Dress,,,,,,,,,,,,,,,,,,,,2/11/2014
Team Totals,240,33,85,.388,4,16,.250,9,13,.692,10,30,40,21,6,7,11,15,79,,2/11/2014
Trey Burke,38:47,2,19,.105,0,11,.000,4,4,1.000,1,2,3,5,2,1,1,4,8,-19,1/2/2015
Gordon Hayward,35:25,6,14,.429,2,3,.667,4,5,.800,1,2,3,3,0,0,0,4,18,-15,1/2/2015
Derrick Favors,30:21,2,7,.286,0,0,,4,8,.500,2,9,11,1,0,2,2,1,8,-13,1/2/2015
Enes Freedom,22:03,5,12,.417,0,0,,1,1,1.000,3,3,6,0,0,0,2,1,11,-15,1/2/2015
Patrick Christopher,5:27,0,1,.000,0,0,,0,0,,1,0,1,0,0,0,1,0,0,-11,1/2/2015
Rudy Gobert,24:06,3,3,1.000,0,0,,5,6,.833,2,5,7,1,0,4,0,2,11,+14,1/2/2015
Dante Exum,22:28,5,9,.556,3,7,.429,0,0,,2,0,2,2,3,0,1,3,13,+17,1/2/2015
Ian Clark,21:18,2,8,.250,1,5,.200,0,0,,1,1,2,4,0,0,1,1,5,-5,1/2/2015
Joe Ingles,20:35,3,4,.750,2,2,1.000,0,0,,0,3,3,1,1,2,4,1,8,+15,1/2/2015
Trevor Booker,19:13,4,9,.444,2,3,.667,0,0,,4,5,9,1,0,0,2,1,10,+3,1/2/2015
Steve Novak,0:17,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-1,1/2/2015
Rodney Hood,Did Not Dress,,,,,,,,,,,,,,,,,,,,1/2/2015
Jeremy Evans,Did Not Play,,,,,,,,,,,,,,,,,,,,1/2/2015
Team Totals,240,32,86,.372,10,31,.323,18,24,.750,17,30,47,18,6,9,14,18,92,,1/2/2015
Evan Fournier,39:14,6,15,.400,3,8,.375,7,7,1.000,1,1,2,3,1,0,3,5,22,+5,4/3/2016
Victor Oladipo,38:48,9,18,.500,0,4,.000,4,5,.800,2,3,5,2,3,1,0,4,22,+2,4/3/2016
Elfrid Payton,31:25,2,8,.250,0,1,.000,3,3,1.000,2,0,2,11,0,0,1,0,7,+1,4/3/2016
Aaron Gordon,28:47,5,11,.455,1,3,.333,3,4,.750,4,6,10,3,1,1,0,1,14,+5,4/3/2016
Dewayne Dedmon,12:31,4,4,1.000,0,0,,0,1,.000,1,2,3,0,0,0,1,2,8,+5,4/3/2016
Nikola Vučević,32:13,10,19,.526,0,0,,5,7,.714,3,9,12,3,2,1,3,3,25,+12,4/3/2016
Andrew Nicholson,19:13,3,5,.600,3,4,.750,1,2,.500,0,6,6,1,1,0,0,1,10,+7,4/3/2016
Mario Hezonja,17:58,2,4,.500,1,3,.333,0,0,,0,0,0,2,2,0,2,1,5,+17,4/3/2016
Brandon Jennings,16:35,2,5,.400,2,3,.667,0,0,,0,3,3,2,0,0,0,1,6,+11,4/3/2016
Jason Smith,3:16,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,3,0,-5,4/3/2016
Shabazz Napier,Did Not Play,,,,,,,,,,,,,,,,,,,,4/3/2016
Devyn Marble,Did Not Play,,,,,,,,,,,,,,,,,,,,4/3/2016
Ersan İlyasova,Did Not Play,,,,,,,,,,,,,,,,,,,,4/3/2016
